"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1972","Glenn Beckert","CHC","31",".270",".304",".344",".648","474","128","51","3","43","2","-13.1","0.7","1000743"
"1978","Duane Kuiper","CLE","28",".283",".311",".338",".649","547","155","52","0","43","4","-14.7","0.6","1007207"
"1998","Mark Lewis","PHI","28",".249",".312",".349",".661","518","129","52","9","54","3","-20.6","-1.1","1007585"
"1970","Ted Kubiak","MIL","28",".252",".340",".313",".653","540","136","63","4","41","4","-17.0","-0.4","1007190"
"1975","Phil Garner","OAK","26",".246",".295",".346",".641","488","120","46","6","54","4","-9.9","1.9","1004541"
"1983","Julio Cruz","- - -","28",".252",".318",".326",".644","515","130","71","3","52","57","-8.0","2.8","1002842"
"2012","Gordon Beckham","CHW","25",".234",".296",".371",".668","525","123","62","16","60","5","-14.9","1.0","9015"
"1999","Mickey Morandini","CHC","33",".241",".319",".329",".648","456","110","60","4","37","6","-24.9","-1.3","1009151"
"2011","Darwin Barney","CHC","25",".276",".313",".353",".666","529","146","66","2","43","9","-11.3","1.6","2430"
"1972","Cookie Rojas","KCR","33",".261",".315",".331",".646","487","127","49","3","53","2","-7.1","1.4","1011152"
"2008","Freddy Sanchez","PIT","30",".271",".298",".371",".669","569","154","75","9","52","0","-19.7","0.5","1624"
"2007","Felipe Lopez","WSN","27",".245",".308",".352",".659","603","148","70","9","50","24","-25.4","-0.2","1311"
"1996","Mark Lemke","ATL","30",".255",".323",".319",".642","498","127","64","5","37","5","-19.5","1.5","1007516"
"1982","Ron Oester","CIN","26",".260",".303",".359",".662","549","143","63","9","47","5","-14.8","0.0","1009739"
"1974","Felix Millan","NYM","30",".268",".317",".311",".628","518","139","50","1","33","5","-11.0","-0.3","1008867"
"1990","Steve Sax","NYY","30",".260",".316",".325",".641","615","160","70","4","42","43","-10.9","1.1","1011481"
"1983","Wayne Tolleson","TEX","27",".260",".319",".315",".634","470","122","64","3","20","33","-10.1","0.8","1013103"
"2010","Aaron Hill","TOR","28",".205",".271",".394",".665","528","108","70","26","68","2","-15.2","1.2","6104"
"1995","Rey Sanchez","CHC","27",".278",".301",".360",".661","428","119","57","3","27","6","-17.4","0.3","213"
"1985","Glenn Hubbard","ATL","27",".232",".321",".314",".635","439","102","51","5","39","4","-14.5","2.3","1006120"
"2014","DJ LeMahieu","COL","25",".267",".315",".348",".663","494","132","59","5","42","10","-22.2","0.3","9874"
"2009","Kaz Matsui","HOU","33",".250",".302",".357",".659","476","119","56","9","46","19","-11.4","0.7","1854"
"2006","Jose Castillo","PIT","25",".253",".299",".382",".682","518","131","54","14","65","6","-21.5","-0.8","1866"
"1980","Lou Whitaker","DET","23",".233",".331",".283",".614","477","111","68","1","45","8","-17.2","1.3","1013846"
"1995","Brent Gates","OAK","25",".254",".308",".344",".652","524","133","60","5","56","3","-22.4","1.0","1004570"
"1983","Jerry Remy","BOS","30",".275",".320",".319",".639","592","163","73","0","43","11","-20.1","0.5","1010828"
"1973","Horace Clarke","NYY","33",".263",".317",".308",".625","590","155","60","2","35","11","-14.7","0.6","1002287"
"2020","Adam Frazier","PIT","28",".230",".297",".364",".661","209","48","22","7","23","1","-7.2","0.6","15223"
"1998","Carlos Baerga","NYM","29",".266",".303",".364",".667","511","136","46","7","53","0","-17.8","0.0","175"
"1980","Frank White","KCR","29",".264",".289",".357",".646","560","148","70","7","60","19","-16.2","1.4","1013872"
"2007","Craig Biggio","HOU","41",".251",".285",".381",".666","517","130","68","10","50","4","-21.6","-0.8","549"
"1975","Jerry Remy","CAL","22",".258",".311",".311",".622","569","147","82","1","46","34","-13.3","2.1","1010828"
"2002","Mark Grudzielanek","LAD","32",".271",".301",".364",".665","536","145","56","9","50","4","-18.0","1.2","653"
"2011","Aaron Hill","- - -","29",".246",".299",".356",".655","520","128","61","8","61","21","-14.7","0.7","6104"
"2014","Aaron Hill","ARI","32",".244",".287",".367",".654","501","122","52","10","60","4","-17.1","-0.5","6104"
"2001","Jerry Hairston","BAL","25",".233",".305",".344",".649","532","124","63","8","47","29","-16.9","0.2","144"
"1975","Manny Trillo","CHC","24",".248",".306",".316",".622","545","135","55","7","70","1","-25.3","-1.4","1013184"
"2014","Jason Kipnis","CLE","27",".240",".310",".330",".640","500","120","61","6","41","22","-6.3","0.7","9776"
"1972","Doug Griffin","BOS","25",".260",".325",".302",".627","470","122","43","2","35","9","-8.9","0.2","1005040"
"1976","Jerry Remy","CAL","23",".263",".313",".303",".615","502","132","64","0","28","35","-7.1","2.6","1010828"
"1982","Manny Trillo","PHI","31",".271",".316",".319",".634","549","149","52","0","39","8","-17.3","0.6","1013184"
"1988","Jose Lind","PIT","24",".262",".308",".324",".632","611","160","82","2","49","15","-9.7","2.4","1007623"
"1989","Bill Doran","HOU","31",".219",".301",".323",".625","507","111","65","8","58","22","-5.5","1.1","1003406"
"2015","Starlin Castro","CHC","25",".265",".296",".375",".671","547","145","52","11","69","5","-16.4","0.6","4579"
"2000","Mike Lansing","- - -","32",".240",".292",".365",".657","504","121","72","11","60","8","-38.8","-1.7","1007334"
"1976","Manny Trillo","CHC","25",".239",".304",".311",".615","582","139","42","4","59","17","-21.2","0.7","1013184"
"2012","Darwin Barney","CHC","26",".254",".299",".354",".653","548","139","73","7","44","6","-12.4","1.9","2430"
"2015","Jace Peterson","ATL","25",".239",".314",".335",".649","528","126","55","6","52","12","-13.6","1.0","12325"
"1972","Horace Clarke","NYY","32",".241",".315",".302",".616","547","132","65","3","37","18","-4.4","2.4","1002287"
"1972","Mike Andrews","CHW","28",".220",".313",".297",".610","505","111","58","7","50","2","-10.6","-0.3","1000258"
"2010","Ryan Theriot","- - -","30",".270",".321",".312",".633","586","158","72","2","29","20","-23.6","-0.5","3811"
"1976","Duane Kuiper","CLE","26",".263",".303",".312",".615","506","133","47","0","37","10","-15.4","0.5","1007207"
"1979","Rodney Scott","MON","25",".238",".319",".294",".613","562","134","69","3","42","39","-16.2","0.8","1011693"
"2011","Gordon Beckham","CHW","24",".230",".296",".337",".633","499","115","60","10","44","5","-16.1","0.8","9015"
"1991","Jose Lind","PIT","27",".265",".306",".339",".644","502","133","53","3","54","7","-13.3","1.2","1007623"
"1972","Tommy Helms","HOU","31",".259",".291",".346",".637","518","134","45","5","60","4","-12.8","0.6","1005616"
"1971","Sandy Alomar","CAL","27",".260",".301",".321",".621","689","179","77","4","42","39","-11.6","3.7","1000176"
"1996","Jody Reed","SDP","33",".244",".325",".297",".622","495","121","45","2","49","2","-21.9","-0.8","1010771"
"1983","Rich Dauer","BAL","30",".235",".306",".309",".615","459","108","49","5","41","1","-16.2","0.2","1003006"
"1990","Scott Fletcher","CHW","31",".242",".304",".312",".617","509","123","54","4","56","1","-18.8","1.3","1004155"
"1981","Bump Wills","TEX","28",".251",".304",".307",".611","410","103","51","2","41","12","-11.2","0.8","1014049"
"2007","Jose Lopez","SEA","23",".252",".284",".355",".639","524","132","58","11","62","2","-27.2","-0.6","3114"
