"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1979","Mitchell Page","OAK","27",".247",".323",".335",".657","478","118","51","9","42","17","-13.5","-1.1","1009954"
"2013","Paul Konerko","CHW","37",".244",".313",".355",".669","467","114","41","12","54","0","-17.2","-1.5","242"
"1986","Dave Kingman","OAK","37",".210",".255",".431",".686","561","118","70","35","94","3","-10.6","-0.8","1006939"
"2012","Michael Young","TEX","35",".277",".312",".370",".682","611","169","79","8","67","2","-22.5","-1.5","1286"
"2012","Jesus Montero","SEA","22",".260",".298",".386",".685","515","134","46","15","62","0","-12.7","-1.4","5514"
"1997","Joe Carter","TOR","37",".234",".284",".399",".683","612","143","76","21","102","8","-23.0","-1.4","1002018"
"1974","Tommy Harper","BOS","33",".237",".312",".318",".630","443","105","66","5","24","28","-11.3","-0.1","1005383"
"1990","Jeffrey Leonard","SEA","34",".251",".305",".356",".660","478","120","39","10","75","4","-12.3","-1.3","1007535"
"2017","Mark Trumbo","BAL","31",".234",".289",".397",".686","559","131","79","23","65","1","-16.3","-1.3","6876"
"1991","Dave Parker","- - -","40",".239",".288",".365",".653","502","120","47","11","59","3","-14.1","-1.2","1010000"
"1988","Larry Sheets","BAL","28",".230",".302",".343",".645","452","104","38","10","47","1","-12.5","-0.7","1011852"
"1977","Manny Sanguillen","OAK","33",".275",".302",".354",".656","571","157","42","6","58","2","-15.0","0.4","1011434"
"2020","J.D. Martinez","BOS","32",".213",".291",".389",".680","211","45","22","7","27","1","-7.8","-1.0","6184"
"2019","Khris Davis","OAK","31",".220",".293",".387",".679","481","106","61","23","73","0","-14.7","-0.9","9112"
"2020","Josh Bell","PIT","27",".226",".305",".364",".669","195","44","22","8","22","0","-6.2","-0.4","13145"
"2017","Albert Pujols","LAA","37",".241",".286",".386",".672","593","143","53","23","101","3","-24.2","-2.0","1177"
"1991","Alvin Davis","SEA","30",".221",".299",".335",".635","462","102","39","12","69","0","-18.6","-1.6","1003033"
"2017","Carlos Beltran","HOU","40",".231",".283",".383",".666","467","108","60","14","51","0","-17.6","-1.1","589"
"2018","Victor Martinez","DET","39",".251",".297",".353",".651","467","117","32","9","54","0","-20.4","-1.7","393"
"1984","Ted Simmons","MIL","34",".221",".269",".300",".569","497","110","44","4","52","3","-24.6","-2.4","1011986"
