"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2013","Alexei Ramirez","CHW","31",".284",".313",".380",".693","637","181","68","6","48","30","-5.9","2.8","5133"
"1994","Manuel Lee","TEX","29",".278",".319",".361",".681","335","93","41","2","38","3","-12.4","0.2","1007460"
"2010","Jason Bartlett","TBR","30",".254",".324",".350",".675","468","119","71","4","47","11","-1.9","1.3","8219"
"2004","Angel Berroa","KCR","26",".262",".308",".385",".693","512","134","72","8","43","14","-17.4","-0.3","591"
"2015","Addison Russell","CHC","21",".242",".307",".389",".696","475","115","60","13","54","4","-6.1","2.6","14106"
"2015","Wilmer Flores","NYM","23",".263",".295",".408",".703","483","127","55","16","59","0","-3.2","1.7","5827"
"2004","David Eckstein","ANA","29",".276",".339",".332",".671","566","156","92","2","35","16","-11.1","1.9","10"
"2000","Tony Womack","ARI","30",".271",".307",".384",".692","617","167","95","7","57","45","-22.4","0.0","78"
"2016","Jordy Mercer","PIT","29",".256",".328",".374",".701","519","133","66","11","59","1","-5.3","1.4","6547"
"1979","Robin Yount","MIL","23",".267",".308",".371",".679","577","154","72","8","51","11","-13.1","2.5","1014396"
"1970","Leo Cardenas","MIN","31",".247",".300",".374",".674","588","145","67","11","65","2","-14.4","2.6","1001938"
"1989","Tony Fernandez","TOR","27",".257",".291",".389",".680","573","147","64","11","64","22","-6.6","3.6","1004002"
"1974","Bill Russell","LAD","25",".269",".336",".351",".686","553","149","61","5","65","14","-6.0","3.1","1011311"
"1974","Don Kessinger","CHC","31",".259",".332",".321",".652","599","155","83","1","42","7","-17.5","-0.2","1006877"
"1990","Spike Owen","MON","29",".234",".333",".342",".675","453","106","55","5","35","8","-9.6","0.7","1009924"
"1997","Jose Vizcaino","SFG","29",".266",".323",".350",".673","568","151","77","5","50","8","-16.2","2.1","577"
"2013","Andrelton Simmons","ATL","23",".248",".296",".396",".692","606","150","76","17","59","6","-8.8","3.5","10847"
"1985","Garry Templeton","SDP","29",".282",".332",".377",".709","546","154","63","6","55","16","-5.1","2.5","1012909"
"2015","Didi Gregorius","NYY","25",".265",".318",".370",".688","525","139","57","9","56","5","-3.9","3.1","6012"
"2014","J.J. Hardy","BAL","31",".268",".309",".372",".682","529","142","56","9","52","0","-8.8","3.0","3797"
"2020","J.P. Crawford","SEA","25",".255",".336",".338",".674","204","52","33","2","24","6","-2.0","1.1","15491"
"1998","Ricky Gutierrez","HOU","28",".261",".337",".334",".671","491","128","55","2","46","13","-11.7","-0.4","387"
"2010","Yuniesky Betancourt","KCR","28",".259",".288",".405",".692","556","144","60","16","78","2","-10.7","0.6","8585"
"2006","Jack Wilson","PIT","28",".273",".316",".370",".686","543","148","70","8","35","4","-18.0","0.4","1017"
"1976","Darrel Chaney","ATL","28",".252",".324",".331",".654","496","125","42","1","50","5","-14.8","0.2","1002134"
"1995","Jeff Blauser","ATL","29",".211",".319",".341",".660","431","91","60","12","31","8","-15.1","1.0","1001062"
"2007","Ryan Theriot","CHC","27",".266",".326",".346",".672","537","143","80","3","45","28","-18.8","0.9","3811"
"2008","Yuniesky Betancourt","SEA","26",".279",".300",".392",".691","559","156","66","7","51","4","-15.4","0.1","8585"
"1988","Rey Quinones","SEA","24",".248",".284",".393",".677","499","124","63","12","52","0","-11.1","1.7","1010615"
"1978","Frank Taveras","PIT","28",".278",".313",".353",".666","654","182","81","0","38","46","-12.5","1.1","1012852"
"1997","Edgar Renteria","FLA","20",".277",".327",".340",".668","617","171","90","4","52","32","-16.9","1.0","1178"
"1994","Ozzie Smith","STL","39",".262",".326",".349",".675","381","100","51","3","30","6","-12.0","1.9","1012186"
"1990","Walt Weiss","OAK","26",".265",".337",".321",".658","445","118","50","2","35","9","-4.8","3.6","1013748"
"2002","Tony Womack","ARI","32",".271",".325",".353",".678","590","160","90","5","57","29","-13.4","0.7","78"
"1980","Ivan DeJesus","CHC","27",".259",".327",".325",".653","618","160","78","3","33","44","-13.5","1.3","1003150"
"1969","Ed Brinkman","WAS","27",".266",".328",".325",".653","576","153","71","2","43","2","-9.1","4.1","1001438"
"2017","Brandon Crawford","SFG","30",".253",".305",".403",".709","518","131","58","14","77","3","-11.8","2.2","5343"
"2010","Yunel Escobar","- - -","27",".256",".337",".318",".655","497","127","60","4","35","6","-12.1","1.7","4191"
"2000","Royce Clayton","TEX","30",".242",".301",".384",".685","513","124","70","14","54","11","-26.7","-0.9","226"
"2012","Jhonny Peralta","DET","30",".239",".305",".384",".689","531","127","58","13","63","1","-14.8","2.0","1738"
"2002","Jimmy Rollins","PHI","23",".245",".306",".380",".686","637","156","82","11","60","31","-11.5","1.5","971"
"1970","Maury Wills","LAD","37",".270",".333",".318",".651","522","141","77","0","34","28","-10.1","1.8","1014053"
"2004","Orlando Cabrera","- - -","29",".264",".306",".383",".689","618","163","74","10","62","16","-24.8","0.0","766"
"2015","Jose Reyes","- - -","32",".274",".310",".378",".688","481","132","57","7","53","24","-9.8","0.7","1736"
"1982","Dale Berra","PIT","25",".263",".306",".386",".692","529","139","64","10","61","6","-10.1","2.9","1000896"
"1983","Dale Berra","PIT","26",".251",".327",".358",".684","537","135","51","10","52","8","-11.7","1.9","1000896"
"2001","Alex Gonzalez","TOR","28",".253",".303",".388",".692","636","161","79","17","76","18","-20.6","2.1","281"
"1996","Pat Meares","MIN","27",".267",".298",".391",".689","517","138","66","8","67","9","-23.1","0.6","1008712"
"2007","Stephen Drew","ARI","24",".238",".313",".370",".683","543","129","60","12","60","9","-20.3","-0.6","4251"
"1986","Shawon Dunston","CHC","23",".250",".278",".411",".690","581","145","66","17","68","13","-17.2","0.7","1401"
"2014","Jed Lowrie","OAK","30",".249",".321",".355",".676","502","125","59","6","50","0","-5.9","1.7","4418"
"1989","Spike Owen","MON","28",".233",".349",".332",".681","437","102","52","6","41","3","-5.6","0.8","1009924"
"2004","Cristian Guzman","MIN","26",".274",".309",".384",".693","576","158","84","8","46","10","-16.1","1.8","728"
"2019","Elvis Andrus","TEX","30",".275",".313",".393",".707","600","165","81","12","72","31","-16.5","1.4","8709"
"2000","Cristian Guzman","MIN","22",".247",".299",".388",".687","631","156","89","8","54","28","-28.4","-0.1","728"
"2018","Nick Ahmed","ARI","28",".234",".290",".411",".700","516","121","61","16","70","5","-11.7","1.8","12147"
"1989","Scott Fletcher","- - -","30",".253",".332",".311",".643","546","138","77","1","43","2","-10.7","1.1","1004155"
"2012","Jamey Carroll","MIN","38",".268",".343",".317",".660","470","126","65","1","40","9","-10.4","1.6","1591"
"1978","Chris Speier","MON","28",".251",".329",".329",".659","501","126","47","5","51","1","-8.6","3.0","1012316"
"1971","Maury Wills","LAD","38",".281",".323",".329",".652","601","169","73","3","44","15","-6.6","2.5","1014053"
"2005","Jose Reyes","NYM","22",".273",".300",".386",".687","696","190","99","7","58","60","-11.2","1.7","1736"
"2014","Jordy Mercer","PIT","27",".255",".305",".387",".693","506","129","56","12","55","4","-5.6","2.0","6547"
"2020","Marcus Semien","OAK","29",".223",".305",".374",".679","211","47","28","7","23","4","-0.6","1.2","12533"
"1994","Kurt Abbott","FLA","25",".249",".291",".394",".685","345","86","41","9","33","3","-10.8","0.5","1000013"
"2013","Erick Aybar","LAA","29",".271",".301",".382",".683","550","149","68","6","54","12","-5.3","1.2","4082"
"2014","Yunel Escobar","TBR","31",".258",".324",".340",".664","476","123","33","7","39","1","-6.8","0.4","4191"
"2005","Royce Clayton","ARI","35",".270",".320",".351",".670","522","141","59","2","44","13","-18.4","0.1","226"
"1993","Mike Bordick","OAK","27",".249",".332",".311",".644","546","136","60","3","48","10","-14.1","0.9","129"
"1982","Chris Speier","MON","32",".257",".316",".360",".677","530","136","41","7","60","1","-10.3","1.6","1012316"
"1971","Ted Sizemore","STL","26",".264",".322",".333",".655","478","126","53","3","42","4","-9.6","1.4","1012027"
"1998","Mark Grudzielanek","- - -","28",".272",".311",".362",".673","589","160","62","10","62","18","-16.3","-0.8","653"
"2000","Pat Meares","PIT","31",".240",".305",".381",".685","462","111","55","13","47","1","-21.7","-0.2","1008712"
"1977","Chris Speier","- - -","27",".234",".317",".339",".657","548","128","59","5","38","1","-14.7","1.5","1012316"
"2010","Elvis Andrus","TEX","21",".265",".342",".301",".643","588","156","88","0","35","32","-11.3","2.1","8709"
"1988","Rafael Ramirez","HOU","30",".276",".298",".378",".677","566","156","51","6","59","3","-4.3","1.1","1010673"
"2012","Zack Cozart","CIN","26",".246",".288",".399",".687","561","138","72","15","35","4","-11.2","1.9","2616"
"2001","Edgar Renteria","STL","24",".260",".314",".371",".685","493","128","54","10","57","17","-14.2","1.7","1178"
"1989","Alan Trammell","DET","31",".243",".314",".334",".648","449","109","54","5","43","10","-7.0","3.0","1013157"
"1997","Chris Gomez","SDP","26",".253",".326",".326",".652","522","132","62","5","54","5","-17.0","-2.3","1208"
