"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1981","Bill Madlock","PIT","30",".341",".413",".495",".907","279","95","35","6","45","18","20.0","3.4","1007957"
"2007","Miguel Cabrera","FLA","24",".320",".401",".565",".965","588","188","91","34","119","2","31.9","5.0","1744"
"2016","Josh Donaldson","TOR","30",".284",".404",".549",".953","577","164","122","37","99","7","47.6","7.6","5038"
"1970","Dick Allen","STL","28",".279",".377",".560",".937","459","128","88","34","101","5","27.7","2.9","1000137"
"1979","George Brett","KCR","26",".329",".376",".563",".939","645","212","119","23","107","17","38.7","8.3","1001400"
"2009","Alex Rodriguez","NYY","33",".286",".402",".532",".933","444","127","78","30","100","14","28.3","4.1","1274"
"2003","Bill Mueller","BOS","32",".326",".398",".540",".938","524","171","85","19","85","1","31.9","4.7","295"
"1983","Mike Schmidt","PHI","33",".255",".399",".524",".923","534","136","104","40","109","7","38.5","6.9","1011586"
"1998","Vinny Castilla","COL","30",".319",".362",".589",".951","645","206","108","46","144","5","15.4","4.5","84"
"1969","Sal Bando","OAK","25",".281",".400",".484",".885","609","171","106","31","113","1","43.4","7.7","1000505"
"2017","Justin Turner","LAD","32",".322",".415",".530",".945","457","147","72","21","71","7","37.5","5.4","5235"
"1987","Brook Jacoby","CLE","27",".300",".387",".541",".928","540","162","73","32","69","2","33.4","4.7","1006318"
"2017","Kris Bryant","CHC","25",".295",".409",".537",".946","549","162","111","29","73","7","44.6","6.7","15429"
"2005","Morgan Ensberg","HOU","29",".283",".388",".557",".945","526","149","86","36","101","6","31.6","6.1","556"
"2009","Pablo Sandoval","SFG","22",".330",".387",".556",".943","572","189","79","25","90","5","36.2","5.2","5409"
"1996","Chipper Jones","ATL","24",".309",".393",".530",".923","598","185","114","30","110","14","40.5","6.3","97"
"1984","Mike Schmidt","PHI","34",".277",".383",".536",".919","528","146","93","36","106","5","36.5","7.1","1011586"
"2004","Aramis Ramirez","CHC","26",".318",".373",".578",".951","547","174","99","36","103","0","21.7","3.7","1002"
"1975","Bill Madlock","CHC","24",".354",".402",".479",".881","514","182","77","7","64","9","24.2","4.0","1007957"
"2015","Josh Donaldson","TOR","29",".297",".371",".568",".939","620","184","122","41","123","6","48.8","8.7","5038"
"1975","Mike Schmidt","PHI","25",".249",".367",".523",".890","562","140","93","38","95","29","33.7","7.9","1011586"
"1982","Doug DeCinces","CAL","31",".301",".369",".548",".916","575","173","94","30","97","7","35.7","7.3","1003123"
"1998","Scott Rolen","PHI","23",".290",".391",".532",".923","601","174","120","31","110","14","35.7","7.0","970"
"2017","Jose Ramirez","CLE","24",".318",".374",".583",".957","585","186","107","29","83","17","36.9","6.5","13510"
"1986","Mike Schmidt","PHI","36",".290",".390",".547",".937","552","160","97","37","119","1","35.9","5.8","1011586"
"2016","Kris Bryant","CHC","24",".292",".385",".554",".939","603","176","121","39","102","8","48.7","7.9","15429"
"2008","David Wright","NYM","25",".302",".390",".534",".924","626","189","115","33","124","15","38.3","7.0","3787"
"1970","Tommy Harper","MIL","29",".296",".377",".522",".899","604","179","104","31","82","38","39.4","6.8","1005383"
"1970","Joe Torre","STL","29",".325",".398",".498",".896","624","203","89","21","100","2","33.1","6.0","1013133"
"2018","Alex Bregman","HOU","24",".286",".394",".532",".926","594","170","105","31","103","10","51.3","7.6","17678"
"1972","Richie Hebner","PIT","24",".300",".378",".508",".886","427","128","63","19","72","0","27.7","5.6","1005571"
"2020","Anthony Rendon","LAA","30",".286",".418",".497",".915","189","54","29","9","31","0","15.4","2.7","12861"
