Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2003,Jason Giambi,NYY,Designated Hitter,32,0.25,0.412,0.527,0.939,535,134,97,41,107,2,42.8,5,818
1996,Dave Nilsson,MIL,Designated Hitter,26,0.331,0.407,0.525,0.932,453,150,81,17,84,2,21.2,2.3,1009601
2002,Rafael Palmeiro,TEX,Designated Hitter,37,0.273,0.391,0.571,0.962,546,149,99,43,105,2,32.9,4.5,1266
1994,Paul Molitor,TOR,Designated Hitter,37,0.341,0.41,0.518,0.927,454,155,86,14,75,20,30.6,3.4,1009040
1995,Harold Baines,BAL,Designated Hitter,36,0.299,0.403,0.54,0.943,385,115,60,24,63,0,22.1,2.4,1000434
1993,Paul Molitor,TOR,Designated Hitter,36,0.332,0.402,0.509,0.911,636,211,121,22,111,22,42.4,4.8,1009040
2003,David Ortiz,BOS,Designated Hitter,27,0.288,0.369,0.592,0.961,448,129,79,31,101,0,25.4,3.2,745
2000,Mike Sweeney,KCR,Designated Hitter,26,0.333,0.407,0.523,0.93,618,206,105,29,144,8,28.8,3.3,634
2013,David Ortiz,BOS,Designated Hitter,37,0.309,0.395,0.564,0.959,518,160,84,30,103,4,27,3.4,745
1995,Jose Canseco,BOS,Designated Hitter,30,0.306,0.378,0.556,0.933,396,121,64,24,81,4,21.2,2.5,1001918
2000,Rafael Palmeiro,TEX,Designated Hitter,35,0.288,0.397,0.558,0.954,565,163,102,39,120,2,27.6,3.1,1266
1992,Danny Tartabull,NYY,Designated Hitter,29,0.266,0.409,0.489,0.898,421,112,72,25,85,2,30.6,3.7,1012829
2000,Jim Thome,CLE,Designated Hitter,29,0.269,0.398,0.531,0.929,557,150,106,37,106,1,29.5,4.4,409
1990,Jose Canseco,OAK,Designated Hitter,25,0.274,0.371,0.543,0.914,481,132,83,37,101,19,36,5.2,1001918
1994,Jose Canseco,TEX,Designated Hitter,29,0.282,0.386,0.552,0.939,429,121,88,31,90,15,22.3,2.7,1001918
1988,Kent Hrbek,MIN,Designated Hitter,28,0.312,0.387,0.52,0.907,510,159,75,25,76,0,29.8,4.3,1006117
1994,Julio Franco,CHW,Designated Hitter,35,0.319,0.406,0.51,0.916,433,138,72,20,98,8,28.3,3.1,87
1982,Hal McRae,KCR,Designated Hitter,36,0.308,0.369,0.542,0.91,613,189,91,27,133,4,36.7,4.3,1008687
2007,Jack Cust,OAK,Designated Hitter,28,0.256,0.408,0.504,0.912,395,101,61,26,82,0,25.1,2.8,1564
2007,Vladimir Guerrero,LAA,Designated Hitter,32,0.324,0.403,0.547,0.95,574,186,89,27,125,2,28.1,3.2,778
2015,Nelson Cruz,SEA,Designated Hitter,34,0.302,0.369,0.566,0.936,590,178,90,44,93,3,41.2,5,2434
2012,Edwin Encarnacion,TOR,Designated Hitter,29,0.28,0.384,0.557,0.941,542,152,93,42,110,13,40.5,4.6,2151
2009,Adam Lind,TOR,Designated Hitter,25,0.305,0.37,0.562,0.932,587,179,93,35,114,1,32.9,3.4,8027
2001,Rafael Palmeiro,TEX,Designated Hitter,36,0.273,0.381,0.563,0.944,600,164,98,47,123,1,35.2,4.2,1266
1976,Hal McRae,KCR,Designated Hitter,30,0.332,0.407,0.461,0.868,527,175,75,8,73,22,34.5,4.4,1008687
1995,Mickey Tettleton,TEX,Designated Hitter,34,0.238,0.396,0.51,0.906,429,102,76,32,78,0,22.6,2.2,1012939
1984,Mike Easler,BOS,Designated Hitter,33,0.313,0.376,0.516,0.892,601,188,87,27,91,1,32.6,4,1003635
1999,Mike Sweeney,KCR,Designated Hitter,25,0.322,0.387,0.52,0.907,575,185,101,22,102,6,24.6,2.7,634
2004,Erubiel Durazo,OAK,Designated Hitter,29,0.321,0.396,0.523,0.919,511,164,80,22,88,3,28.6,3.1,1413
2006,Frank Thomas,OAK,Designated Hitter,38,0.27,0.381,0.545,0.926,466,126,77,39,114,0,20.1,2.4,255
1979,Don Baylor,CAL,Designated Hitter,30,0.296,0.371,0.53,0.901,628,186,120,36,139,22,36.6,3.6,1000700
2015,Edwin Encarnacion,TOR,Designated Hitter,32,0.277,0.372,0.557,0.929,528,146,94,39,111,3,34.4,4.5,2151
1991,Paul Molitor,MIL,Designated Hitter,34,0.325,0.399,0.489,0.888,665,216,133,17,75,19,40.8,5.2,1009040
1991,Chili Davis,MIN,Designated Hitter,31,0.277,0.385,0.507,0.892,534,148,84,29,93,5,27.8,3.3,1003041
1996,Harold Baines,CHW,Designated Hitter,37,0.311,0.399,0.503,0.902,495,154,80,22,95,3,23.9,2.9,1000434
1996,Kevin Seitzer,,Designated Hitter,34,0.326,0.416,0.466,0.882,573,187,85,13,78,6,22.3,3.8,1011730
2014,Edwin Encarnacion,TOR,Designated Hitter,31,0.268,0.354,0.547,0.901,477,128,75,34,98,2,30.8,3.7,2151
1989,Dwight Evans,BOS,Designated Hitter,37,0.285,0.397,0.463,0.861,520,148,82,20,100,3,29,3.4,1003865
2000,David Segui,,Designated Hitter,33,0.334,0.388,0.51,0.898,574,192,93,19,103,0,20,2.2,169
2013,Edwin Encarnacion,TOR,Designated Hitter,30,0.272,0.37,0.534,0.904,530,144,90,36,104,7,32,4,2151
2003,Edgar Martinez,SEA,Designated Hitter,40,0.294,0.406,0.489,0.895,497,146,72,24,98,0,22.1,2.7,1086
1980,Jason Thompson,,Designated Hitter,25,0.288,0.398,0.475,0.873,438,126,69,21,90,2,24.8,4,1013014
1987,Brian Downing,CAL,Designated Hitter,36,0.272,0.4,0.487,0.886,567,154,110,29,77,5,32.9,3.9,1003451
1999,David Justice,CLE,Designated Hitter,33,0.287,0.413,0.476,0.889,429,123,75,21,88,1,16.9,3.2,923
2010,Luke Scott,BAL,Designated Hitter,32,0.284,0.368,0.535,0.902,447,127,70,27,72,2,20.5,2.8,3469
2008,Aubrey Huff,BAL,Designated Hitter,31,0.304,0.36,0.552,0.912,598,182,96,32,108,4,30.2,4,1213
2002,Ellis Burks,CLE,Designated Hitter,37,0.301,0.362,0.541,0.903,518,156,92,32,91,2,25.8,3.1,372
2019,J.D. Martinez,BOS,Designated Hitter,31,0.304,0.383,0.557,0.939,575,175,98,36,105,2,28.1,3.2,6184
1992,Dave Winfield,TOR,Designated Hitter,40,0.29,0.377,0.491,0.867,583,169,92,26,108,2,29.3,3.8,1014127
1997,Juan Gonzalez,TEX,Designated Hitter,27,0.296,0.335,0.589,0.924,533,158,87,42,131,0,19.8,2.2,1251
1981,Richie Zisk,SEA,Designated Hitter,32,0.311,0.366,0.485,0.851,357,111,42,16,43,0,17.5,2.1,1014455
2017,Nelson Cruz,SEA,Designated Hitter,36,0.288,0.375,0.549,0.924,556,160,91,39,119,1,33,3.8,2434
1999,Frank Thomas,CHW,Designated Hitter,31,0.305,0.414,0.471,0.885,486,148,74,15,77,3,19.6,2.1,255
2009,Jason Kubel,MIN,Designated Hitter,27,0.3,0.369,0.539,0.907,514,154,73,28,103,1,19.8,2.3,2161
2011,Paul Konerko,CHW,Designated Hitter,35,0.3,0.388,0.517,0.906,543,163,69,31,105,1,18.6,2.7,242
1995,Eddie Murray,CLE,Designated Hitter,39,0.323,0.375,0.516,0.891,436,141,68,21,82,5,17.7,2.6,1009386
1974,Hal McRae,KCR,Designated Hitter,28,0.31,0.375,0.475,0.85,539,167,71,15,88,11,27,4.1,1008687
2001,Ellis Burks,CLE,Designated Hitter,36,0.28,0.369,0.542,0.911,439,123,83,28,74,5,23.9,2.5,372
2016,Nelson Cruz,SEA,Designated Hitter,35,0.287,0.36,0.555,0.915,589,169,96,43,105,2,35,4.4,2434
1977,Hal McRae,KCR,Designated Hitter,31,0.298,0.366,0.515,0.881,641,191,104,21,92,18,30.2,4.3,1008687
1994,Kirk Gibson,DET,Designated Hitter,37,0.276,0.358,0.548,0.906,330,91,71,23,72,4,12.2,1.2,1004669
2013,Joe Mauer,MIN,Designated Hitter,30,0.324,0.404,0.476,0.88,445,144,62,11,47,0,25.3,5.2,1857
1981,Greg Luzinski,CHW,Designated Hitter,30,0.265,0.365,0.476,0.841,378,100,55,21,62,0,21.6,2.6,1007855
2010,David Ortiz,BOS,Designated Hitter,34,0.27,0.37,0.529,0.899,518,140,86,32,102,0,18.3,2.6,745
2001,Mike Sweeney,KCR,Designated Hitter,27,0.304,0.374,0.542,0.916,559,170,97,29,99,10,23.2,4,634
1973,Frank Robinson,CAL,Designated Hitter,37,0.266,0.372,0.489,0.861,534,142,85,30,97,1,32.5,4.2,1011066
1997,Chili Davis,KCR,Designated Hitter,37,0.279,0.386,0.509,0.896,477,133,71,30,90,6,20,2.5,1003041
1989,Harold Baines,,Designated Hitter,30,0.309,0.395,0.465,0.86,505,156,73,16,72,0,25.2,2.5,1000434
2003,Dmitri Young,DET,Designated Hitter,29,0.297,0.372,0.537,0.909,562,167,78,29,85,2,25.8,1.9,505
