Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1976,Joe Morgan,CIN,Second Base,32,0.32,0.444,0.576,1.02,472,151,113,27,111,60,64.4,9.5,1009179
1975,Joe Morgan,CIN,Second Base,31,0.327,0.466,0.508,0.974,498,163,107,17,94,67,65.6,11,1009179
2000,Jeff Kent,SFG,Second Base,32,0.334,0.424,0.596,1.021,587,196,114,33,125,12,53.7,7.4,1119
2020,DJ LeMahieu,NYY,Second Base,31,0.364,0.421,0.59,1.011,195,71,41,10,27,3,21,2.5,9874
1996,Chuck Knoblauch,MIN,Second Base,27,0.341,0.448,0.517,0.965,578,197,140,13,72,45,46.3,8.1,609
2007,Chase Utley,PHI,Second Base,28,0.332,0.41,0.566,0.976,530,176,104,22,103,9,44,7.7,1679
2000,Edgardo Alfonzo,NYM,Second Base,26,0.324,0.425,0.542,0.967,544,176,109,25,94,3,44.2,6.4,859
1974,Joe Morgan,CIN,Second Base,30,0.293,0.427,0.494,0.921,512,150,107,22,67,58,52.2,8.6,1009179
1999,Roberto Alomar,CLE,Second Base,31,0.323,0.422,0.533,0.955,563,182,138,24,120,37,43.5,7.3,860
1981,Bobby Grich,CAL,Second Base,32,0.304,0.378,0.543,0.921,352,107,56,22,61,2,28,5.3,1005033
2016,Daniel Murphy,WSN,Second Base,31,0.347,0.39,0.595,0.985,531,184,88,25,104,5,42.2,5.6,4316
1975,Rod Carew,MIN,Second Base,29,0.359,0.421,0.497,0.919,535,192,89,14,80,35,40.7,7.1,1001942
2009,Ben Zobrist,TBR,Second Base,28,0.297,0.405,0.543,0.948,501,149,91,27,91,17,43.7,8.7,7435
2001,Roberto Alomar,CLE,Second Base,33,0.336,0.415,0.541,0.956,575,193,113,20,100,30,46.9,6.6,860
2017,Jose Altuve,HOU,Second Base,27,0.346,0.41,0.547,0.957,590,204,112,24,81,32,52.7,7.6,5417
2019,Ketel Marte,ARI,Second Base,25,0.329,0.389,0.592,0.981,569,187,97,32,92,10,45.5,7,13613
1973,Joe Morgan,CIN,Second Base,29,0.29,0.406,0.493,0.899,576,167,116,26,82,67,53,9.5,1009179
1973,Davey Johnson,ATL,Second Base,30,0.27,0.37,0.546,0.916,559,151,84,43,99,5,35.1,5.3,1006440
1995,Chuck Knoblauch,MIN,Second Base,26,0.333,0.424,0.487,0.911,538,179,107,11,63,46,33.1,6.4,609
1996,Roberto Alomar,BAL,Second Base,28,0.328,0.411,0.527,0.938,588,193,132,22,94,17,34.3,5.2,860
1997,Craig Biggio,HOU,Second Base,31,0.309,0.415,0.501,0.916,619,191,146,22,81,47,50.3,9.3,549
1974,Rod Carew,MIN,Second Base,28,0.364,0.433,0.446,0.879,599,218,86,3,55,38,41.7,6.6,1001942
1977,Joe Morgan,CIN,Second Base,33,0.288,0.417,0.478,0.895,521,150,113,22,78,49,41.1,5.8,1009179
1993,Roberto Alomar,TOR,Second Base,25,0.326,0.408,0.492,0.9,589,192,109,17,93,55,40.5,5.7,860
2002,Jeff Kent,SFG,Second Base,34,0.313,0.368,0.565,0.933,623,195,102,37,108,5,41.3,6.7,1119
2001,Bret Boone,SEA,Second Base,32,0.331,0.372,0.578,0.95,623,206,118,37,141,5,41.2,7.8,1067
2017,Jose Ramirez,CLE,Second Base,24,0.318,0.374,0.583,0.957,585,186,107,29,83,17,36.9,6.5,13510
1990,Ryne Sandberg,CHC,Second Base,30,0.306,0.354,0.559,0.913,615,188,116,40,100,25,35,6.3,1011411
1998,Craig Biggio,HOU,Second Base,32,0.325,0.403,0.503,0.906,646,210,123,20,88,50,48.9,6.5,549
1999,Jay Bell,ARI,Second Base,33,0.289,0.374,0.557,0.931,589,170,132,38,112,7,26.2,4.7,48
2009,Chase Utley,PHI,Second Base,30,0.282,0.397,0.508,0.905,571,161,112,31,93,23,46.8,8.2,1679
2012,Robinson Cano,NYY,Second Base,29,0.313,0.379,0.55,0.929,627,196,105,33,94,3,36.6,7.3,3269
2003,Marcus Giles,ATL,Second Base,25,0.316,0.39,0.526,0.917,551,174,101,21,69,14,37.1,6.7,89
1995,Craig Biggio,HOU,Second Base,29,0.302,0.406,0.483,0.889,553,167,123,22,77,33,40.8,6.2,549
1994,Craig Biggio,HOU,Second Base,28,0.318,0.411,0.483,0.893,437,139,88,6,56,39,34.8,4.4,549
1973,Rod Carew,MIN,Second Base,27,0.35,0.411,0.471,0.881,580,203,98,6,62,41,34.8,6.3,1001942
