Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1991,Julio Franco,TEX,Second Base,32,0.341,0.408,0.474,0.882,589,201,108,15,78,36,39.3,5.9,87
1972,Joe Morgan,CIN,Second Base,28,0.292,0.417,0.435,0.851,552,161,122,16,73,58,43.2,8.7,1009179
2016,DJ LeMahieu,COL,Second Base,27,0.348,0.416,0.495,0.911,552,192,104,11,66,11,23.5,4.4,9874
2000,Jose Vidro,MON,Second Base,25,0.33,0.379,0.54,0.918,606,200,101,24,97,5,25.4,4.3,802
1992,Ryne Sandberg,CHC,Second Base,32,0.304,0.371,0.51,0.881,612,186,100,26,87,17,36.7,7.4,1011411
2010,Robinson Cano,NYY,Second Base,27,0.319,0.381,0.534,0.914,626,200,103,29,109,3,35.7,6.4,3269
2016,Jose Altuve,HOU,Second Base,26,0.338,0.396,0.531,0.928,640,216,108,24,96,30,45.1,6.8,5417
1979,Bobby Grich,CAL,Second Base,30,0.294,0.365,0.537,0.903,534,157,78,30,101,1,31,5.6,1005033
1984,Ryne Sandberg,CHC,Second Base,24,0.314,0.367,0.52,0.887,636,200,114,19,84,32,36.4,8,1011411
1991,Lou Whitaker,DET,Second Base,34,0.279,0.391,0.489,0.881,470,131,94,23,78,4,27.7,6.1,1013846
2008,Chase Utley,PHI,Second Base,29,0.292,0.38,0.535,0.915,607,177,113,33,104,14,37.6,8.2,1679
2005,Chase Utley,PHI,Second Base,26,0.291,0.376,0.54,0.915,543,158,93,28,105,16,31.8,7.2,1679
1993,Tony Phillips,DET,Second Base,34,0.313,0.443,0.398,0.841,566,177,113,7,57,16,30,5.2,1010300
2006,Chase Utley,PHI,Second Base,27,0.309,0.379,0.527,0.906,658,203,131,32,102,15,39.7,7.2,1679
2005,Brian Roberts,BAL,Second Base,27,0.314,0.387,0.515,0.903,561,176,92,18,73,27,34.8,6.8,166
1998,Jeff Kent,SFG,Second Base,30,0.297,0.359,0.555,0.914,526,156,94,31,128,9,29.1,4.2,1119
1969,Rod Carew,MIN,Second Base,23,0.332,0.386,0.467,0.853,458,152,79,8,56,19,22.9,5,1001942
2007,Melvin Upton Jr.,TBD,Second Base,22,0.3,0.386,0.508,0.894,474,142,86,24,82,22,28.6,4.5,5015
2008,Ian Kinsler,TEX,Second Base,26,0.319,0.375,0.517,0.892,518,165,102,18,71,26,31.2,4.8,6195
2020,Brandon Lowe,TBR,Second Base,25,0.269,0.362,0.554,0.916,193,52,36,14,37,3,16.8,2.4,18882
2017,Daniel Murphy,WSN,Second Base,32,0.322,0.384,0.543,0.928,534,172,94,23,93,2,24.5,4.4,4316
1969,Mike Andrews,BOS,Second Base,25,0.293,0.39,0.455,0.844,464,136,79,15,59,1,20.6,3.8,1000258
1999,Edgardo Alfonzo,NYM,Second Base,25,0.304,0.385,0.502,0.886,628,191,123,27,108,9,27.9,5.9,859
1993,Robby Thompson,SFG,Second Base,31,0.312,0.375,0.496,0.87,494,154,85,19,65,10,27.4,6.1,1013023
2013,Robinson Cano,NYY,Second Base,30,0.314,0.383,0.516,0.899,605,190,81,27,107,7,29.1,5.9,3269
1980,Willie Randolph,NYY,Second Base,25,0.294,0.427,0.407,0.834,513,151,99,7,46,30,33.8,6.5,1010694
2003,Bret Boone,SEA,Second Base,34,0.294,0.366,0.535,0.902,622,183,111,35,117,16,38.2,7.4,1067
1991,Ryne Sandberg,CHC,Second Base,31,0.291,0.379,0.485,0.865,585,170,104,26,100,22,31.5,6.4,1011411
2002,Mark Bellhorn,CHC,Second Base,27,0.258,0.374,0.512,0.886,445,115,86,27,56,7,25.2,3.9,264
2010,Dan Uggla,FLA,Second Base,30,0.287,0.369,0.508,0.877,589,169,100,33,105,4,28.3,4.6,3442
1992,Lou Whitaker,DET,Second Base,35,0.278,0.386,0.461,0.847,453,126,77,19,71,6,22.6,4.4,1013846
2013,Matt Carpenter,STL,Second Base,27,0.318,0.392,0.481,0.873,626,199,126,11,78,3,41.7,7.2,8090
2004,Mark Loretta,SDP,Second Base,32,0.335,0.391,0.495,0.886,620,208,108,16,76,5,34.6,5.8,1383
1978,Bill Madlock,SFG,Second Base,27,0.309,0.378,0.481,0.859,447,138,76,15,44,16,25,4.4,1007957
2005,Jeff Kent,LAD,Second Base,37,0.289,0.377,0.512,0.889,553,160,100,29,105,6,20.8,3.6,1119
1985,Ryne Sandberg,CHC,Second Base,25,0.305,0.364,0.504,0.868,609,186,113,26,83,54,33.6,5.9,1011411
1985,Toby Harrah,TEX,Second Base,36,0.27,0.432,0.389,0.82,396,107,65,9,44,11,21.3,4.1,1005384
1992,Roberto Alomar,TOR,Second Base,24,0.31,0.405,0.427,0.832,571,177,105,8,76,49,33,6.1,860
2010,Kelly Johnson,ARI,Second Base,28,0.284,0.37,0.496,0.865,585,166,93,26,71,13,21.3,5.3,2234
1989,Ryne Sandberg,CHC,Second Base,29,0.29,0.356,0.497,0.853,606,176,104,30,76,15,29.1,5.7,1011411
2006,Ray Durham,SFG,Second Base,34,0.293,0.36,0.538,0.898,498,146,79,26,93,7,17.3,3.6,230
1982,Joe Morgan,SFG,Second Base,38,0.289,0.4,0.438,0.838,463,134,68,14,61,24,29.7,5.2,1009179
1999,Chuck Knoblauch,NYY,Second Base,30,0.292,0.393,0.454,0.848,603,176,120,18,68,28,24.1,3.3,609
2008,Dustin Pedroia,BOS,Second Base,24,0.326,0.376,0.493,0.869,653,213,118,17,83,20,26.4,6.4,8370
2006,Robinson Cano,NYY,Second Base,23,0.342,0.365,0.525,0.89,482,165,62,15,78,5,14,2.4,3269
2002,Jose Vidro,MON,Second Base,27,0.315,0.378,0.49,0.868,604,190,103,19,96,2,26.9,4.3,802
2007,Jeff Kent,LAD,Second Base,39,0.302,0.375,0.5,0.875,494,149,78,20,79,1,18,2.8,1119
1997,John Valentin,BOS,Second Base,30,0.306,0.372,0.499,0.871,575,176,95,18,77,7,19.1,4.3,1375
2003,Jose Vidro,MON,Second Base,28,0.31,0.397,0.47,0.866,509,158,77,15,65,3,15.6,3.2,802
1989,Julio Franco,TEX,Second Base,30,0.316,0.386,0.462,0.848,548,173,80,13,92,21,27.8,5.5,87
2002,Junior Spivey,ARI,Second Base,27,0.301,0.389,0.476,0.865,538,162,103,16,78,11,20.7,4.3,74
1999,Jeff Kent,SFG,Second Base,31,0.29,0.366,0.511,0.877,511,148,86,23,101,13,17.8,3.6,1119
2012,Aaron Hill,ARI,Second Base,30,0.302,0.36,0.522,0.882,609,184,93,26,85,14,26.6,5,6104
2008,Dan Uggla,FLA,Second Base,28,0.26,0.36,0.514,0.874,531,138,97,32,92,5,19.1,4.2,3442
2016,Matt Carpenter,STL,Second Base,30,0.271,0.38,0.505,0.885,473,128,81,21,68,0,22,3.2,8090
2011,Dustin Pedroia,BOS,Second Base,27,0.307,0.387,0.474,0.861,635,195,102,21,91,26,30,7.9,8370
1999,Randy Velarde,,Second Base,36,0.317,0.39,0.455,0.845,631,200,105,16,76,24,19.7,6.1,942
1998,Jose Offerman,KCR,Second Base,29,0.315,0.403,0.438,0.841,607,191,102,7,66,45,23.4,4.6,205
2019,DJ LeMahieu,NYY,Second Base,30,0.327,0.375,0.518,0.893,602,197,109,26,102,5,29,5.3,9874
2009,Robinson Cano,NYY,Second Base,26,0.32,0.352,0.52,0.871,637,204,103,25,85,5,13.4,3.7,3269
2011,Robinson Cano,NYY,Second Base,28,0.302,0.349,0.533,0.882,623,188,104,28,118,8,27.3,5.2,3269
2008,Mark DeRosa,CHC,Second Base,33,0.285,0.376,0.481,0.857,505,144,103,21,87,6,20.2,4.2,1392
2019,Jose Altuve,HOU,Second Base,29,0.298,0.353,0.55,0.903,500,149,89,31,74,6,22.3,3.6,5417
2002,Alfonso Soriano,NYY,Second Base,26,0.3,0.332,0.547,0.88,696,209,128,39,102,41,35.8,5.6,847
1994,Lou Whitaker,DET,Second Base,37,0.301,0.377,0.491,0.867,322,97,67,12,43,2,10.6,2.1,1013846
1992,Bip Roberts,CIN,Second Base,28,0.323,0.393,0.432,0.826,532,172,92,4,45,44,26.3,4.8,1011023
1993,Craig Biggio,HOU,Second Base,27,0.287,0.373,0.474,0.847,610,175,98,21,64,15,23.8,4.7,549
2019,Max Muncy,LAD,Second Base,28,0.251,0.374,0.515,0.889,487,122,101,35,98,4,31.3,4.8,13301
1979,Davey Lopes,LAD,Second Base,34,0.265,0.372,0.464,0.836,582,154,109,28,73,44,34.6,4.6,1007750
1994,Bret Boone,CIN,Second Base,25,0.32,0.368,0.491,0.858,381,122,59,12,68,3,12,1.5,1067
2007,Placido Polanco,DET,Second Base,31,0.341,0.388,0.458,0.846,587,200,105,9,67,7,20.9,5.3,1176
2001,Jeff Kent,SFG,Second Base,33,0.298,0.369,0.507,0.877,607,181,84,22,106,7,23.9,4.9,1119
2016,Jean Segura,ARI,Second Base,26,0.319,0.368,0.499,0.867,637,203,102,20,64,33,27.4,5,5933
1987,Willie Randolph,NYY,Second Base,32,0.305,0.411,0.414,0.825,449,137,96,7,67,11,20,4.7,1010694
2000,Roberto Alomar,CLE,Second Base,32,0.31,0.378,0.475,0.853,610,189,111,19,89,39,18.9,5,860
1979,Paul Molitor,MIL,Second Base,22,0.322,0.372,0.469,0.842,584,188,88,9,62,33,23.1,5.1,1009040
1998,Tony Fernandez,TOR,Second Base,36,0.321,0.387,0.459,0.846,486,156,71,9,72,13,13.5,2.5,1004002
2016,Robinson Cano,SEA,Second Base,33,0.298,0.35,0.533,0.882,655,195,107,39,103,0,31.3,6.3,3269
1983,Lou Whitaker,DET,Second Base,26,0.32,0.38,0.457,0.837,643,206,94,12,72,17,25,6,1013846
1974,Bobby Grich,BAL,Second Base,25,0.263,0.376,0.431,0.807,582,153,92,19,82,17,29.3,6.8,1005033
2000,Luis Castillo,FLA,Second Base,24,0.334,0.418,0.388,0.806,539,180,101,2,17,62,18.4,3.8,513
2016,Brian Dozier,MIN,Second Base,29,0.268,0.34,0.546,0.886,615,165,104,42,99,18,31.5,6.3,9810
1994,Chuck Knoblauch,MIN,Second Base,25,0.312,0.381,0.461,0.841,445,139,85,5,51,35,15.7,3.7,609
1986,Steve Sax,LAD,Second Base,26,0.332,0.39,0.441,0.83,633,210,91,6,56,40,30.5,4.5,1011481
2010,Chase Utley,PHI,Second Base,31,0.275,0.387,0.445,0.832,425,117,75,16,65,13,23.1,5.2,1679
2004,Jeff Kent,HOU,Second Base,36,0.289,0.348,0.531,0.88,540,156,96,27,107,7,14.3,4.2,1119
1994,Roberto Alomar,TOR,Second Base,26,0.306,0.386,0.452,0.838,392,120,78,8,38,19,11.3,2,860
1999,Craig Biggio,HOU,Second Base,33,0.294,0.386,0.457,0.843,639,188,123,16,73,28,19.1,4.9,549
2001,Jose Vidro,MON,Second Base,26,0.319,0.371,0.486,0.856,486,155,82,15,59,4,12.6,2.5,802
1991,Willie Randolph,MIL,Second Base,36,0.327,0.424,0.374,0.798,431,141,60,0,54,4,18.6,4,1010694
1976,Bobby Grich,BAL,Second Base,27,0.266,0.373,0.417,0.79,518,138,93,13,54,14,29,5.7,1005033
2003,Jeff Kent,HOU,Second Base,35,0.297,0.351,0.509,0.86,505,150,77,22,93,6,14.2,3.3,1119
1974,Jorge Orta,CHW,Second Base,23,0.316,0.365,0.44,0.805,525,166,73,10,67,9,19.4,3.6,1009853
2010,Rickie Weeks Jr.,MIL,Second Base,27,0.269,0.366,0.464,0.83,651,175,112,29,83,11,30.6,5.9,1849
1982,Bobby Grich,CAL,Second Base,33,0.261,0.371,0.449,0.819,506,132,74,19,65,3,19,4.3,1005033
1989,Lou Whitaker,DET,Second Base,32,0.251,0.361,0.462,0.822,509,128,77,28,85,6,21.7,5.1,1013846
2018,Javier Baez,CHC,Second Base,25,0.29,0.326,0.554,0.881,606,176,101,34,111,21,28.5,5.4,12979
1975,Jorge Orta,CHW,Second Base,24,0.304,0.363,0.45,0.813,542,165,64,11,83,16,17.8,2.8,1009853
1975,Bobby Grich,BAL,Second Base,26,0.26,0.389,0.399,0.787,524,136,81,13,57,14,23.6,6.9,1005033
1999,Jose Offerman,BOS,Second Base,30,0.294,0.391,0.435,0.826,586,172,107,8,69,18,10,2.8,205
1996,Eric Young,COL,Second Base,29,0.324,0.393,0.421,0.814,568,184,113,8,74,53,0.7,2.8,716
2012,Ben Zobrist,TBR,Second Base,31,0.27,0.377,0.471,0.848,560,151,88,20,74,14,24.8,5.7,7435
2003,Alfonso Soriano,NYY,Second Base,27,0.29,0.338,0.525,0.863,682,198,114,38,91,35,29,5.1,847
2001,Craig Biggio,HOU,Second Base,35,0.292,0.382,0.455,0.838,617,180,118,20,70,7,14.6,2.8,549
2005,Placido Polanco,,Second Base,29,0.331,0.383,0.447,0.83,501,166,84,9,56,4,16.9,5.4,1176
1998,Todd Walker,MIN,Second Base,25,0.316,0.372,0.473,0.845,528,167,85,12,62,19,11.3,0.9,359
2007,Kelly Johnson,ATL,Second Base,25,0.276,0.375,0.457,0.831,521,144,91,16,68,9,17.2,3.4,2234
1997,Damion Easley,DET,Second Base,27,0.264,0.362,0.471,0.833,527,139,97,22,72,28,13,2.4,464
2004,Ray Durham,SFG,Second Base,32,0.282,0.364,0.484,0.848,471,133,95,17,65,10,15.8,3.1,230
1994,Carlos Baerga,CLE,Second Base,25,0.314,0.333,0.525,0.858,442,139,81,19,80,8,9.7,2.2,175
2011,Ian Kinsler,TEX,Second Base,29,0.255,0.355,0.477,0.832,620,158,121,32,77,30,28.1,7.3,6195
1993,Carlos Baerga,CLE,Second Base,24,0.321,0.355,0.486,0.84,624,200,105,21,114,15,19.8,4.4,175
2007,Dustin Pedroia,BOS,Second Base,23,0.317,0.38,0.442,0.823,520,165,86,8,50,7,12.8,3.7,8370
2008,Brian Roberts,BAL,Second Base,30,0.296,0.378,0.45,0.828,611,181,107,9,57,40,22.3,4.8,166
1998,Fernando Vina,MIL,Second Base,29,0.311,0.386,0.427,0.813,637,198,101,7,45,22,15,3.1,1189
2018,Jose Altuve,HOU,Second Base,28,0.316,0.386,0.451,0.837,534,169,84,13,61,17,29.7,4.9,5417
1978,Don Money,MIL,Second Base,31,0.293,0.361,0.44,0.801,518,152,88,14,54,3,19.5,4.4,1009052
2014,Jose Altuve,HOU,Second Base,24,0.341,0.377,0.453,0.83,660,225,85,7,59,56,33.3,5.2,5417
2002,Ray Durham,,Second Base,30,0.289,0.374,0.45,0.825,564,163,114,15,70,26,24.8,3.5,230
1980,Paul Molitor,MIL,Second Base,23,0.304,0.372,0.438,0.809,450,137,81,9,37,34,18.9,3.7,1009040
2017,Brian Dozier,MIN,Second Base,30,0.271,0.359,0.498,0.856,617,167,106,34,93,16,26.2,5.1,9810
2007,Robinson Cano,NYY,Second Base,24,0.306,0.353,0.488,0.841,617,189,93,19,97,4,15.6,4.7,3269
2018,Scooter Gennett,CIN,Second Base,28,0.31,0.357,0.49,0.847,584,181,86,23,92,4,19.4,4.5,10339
1996,Jeff King,PIT,Second Base,31,0.271,0.346,0.497,0.843,591,160,91,30,111,15,16.9,3.8,1006931
1996,Craig Biggio,HOU,Second Base,30,0.288,0.386,0.415,0.801,605,174,113,15,75,25,24,4.8,549
2014,Robinson Cano,SEA,Second Base,31,0.314,0.382,0.454,0.836,595,187,77,14,82,10,28.2,5.6,3269
1999,Ronnie Belliard,MIL,Second Base,24,0.295,0.379,0.429,0.808,457,135,60,8,58,4,4.8,2.5,677
1977,Don Money,MIL,Second Base,30,0.279,0.348,0.47,0.819,570,159,86,25,83,8,17.4,4.9,1009052
2016,Ben Zobrist,CHC,Second Base,35,0.272,0.386,0.446,0.831,523,142,94,18,76,6,20.5,4,7435
1986,Tony Bernazard,CLE,Second Base,29,0.301,0.362,0.456,0.818,562,169,88,17,73,17,15.3,2.9,1000889
2005,Marcus Giles,ATL,Second Base,27,0.291,0.365,0.461,0.826,577,168,104,15,63,16,19.1,5.2,89
2007,Orlando Hudson,ARI,Second Base,29,0.294,0.376,0.441,0.817,517,152,69,10,63,10,6.6,2.6,1307
1985,Lou Whitaker,DET,Second Base,28,0.279,0.362,0.456,0.819,609,170,102,21,73,6,20.2,4.7,1013846
1992,Carlos Baerga,CLE,Second Base,23,0.312,0.354,0.455,0.809,657,205,92,20,105,10,20.9,5.5,175
2009,Dustin Pedroia,BOS,Second Base,25,0.296,0.371,0.447,0.819,626,185,115,15,72,20,11.1,4.7,8370
1971,Ron Hunt,MON,Second Base,30,0.279,0.402,0.358,0.759,520,145,89,5,38,5,15.7,4.5,1006212
1999,Ray Durham,CHW,Second Base,27,0.296,0.373,0.435,0.808,612,181,109,13,60,34,10.2,1.2,230
1991,Robby Thompson,SFG,Second Base,29,0.262,0.352,0.447,0.799,492,129,74,19,48,14,20.2,4.6,1013023
1997,Chuck Knoblauch,MIN,Second Base,28,0.291,0.39,0.411,0.8,611,178,117,9,58,62,18.7,6.2,609
2004,Mark Bellhorn,BOS,Second Base,29,0.264,0.373,0.444,0.817,523,138,93,17,82,6,15.3,3.4,264
2009,Felipe Lopez,,Second Base,29,0.31,0.383,0.427,0.81,604,187,88,9,57,6,11.7,3.6,1311
2011,Ben Zobrist,TBR,Second Base,30,0.269,0.353,0.469,0.822,588,158,99,20,91,19,28.1,6.4,7435
1998,Ray Durham,CHW,Second Base,26,0.285,0.363,0.455,0.818,635,181,126,19,67,36,17,3.2,230
2019,Gleyber Torres,NYY,Second Base,22,0.278,0.337,0.535,0.871,546,152,96,38,90,5,18.4,3.6,16997
1990,Julio Franco,TEX,Second Base,31,0.296,0.383,0.402,0.785,582,172,96,11,69,31,20.9,5.9,87
1980,Bobby Grich,CAL,Second Base,31,0.271,0.377,0.408,0.785,498,135,60,14,62,3,12.9,4.4,1005033
2009,Martin Prado,ATL,Second Base,25,0.307,0.358,0.464,0.822,450,138,64,11,49,1,8.1,2.5,3312
1971,Davey Johnson,BAL,Second Base,28,0.282,0.351,0.443,0.794,510,144,67,18,72,3,16.4,4.3,1006440
2016,Dustin Pedroia,BOS,Second Base,32,0.318,0.376,0.449,0.825,633,201,105,15,74,7,13.2,4.9,8370
1992,Tony Phillips,DET,Second Base,33,0.276,0.387,0.388,0.775,606,167,114,10,64,12,16.4,4.6,1010300
2020,Donovan Solano,SFG,Second Base,32,0.326,0.365,0.463,0.828,190,62,22,3,29,0,7.2,0.9,8623
2009,Aaron Hill,TOR,Second Base,27,0.286,0.33,0.499,0.829,682,195,103,36,108,6,17.3,4,6104
2013,Jason Kipnis,CLE,Second Base,26,0.284,0.366,0.452,0.818,564,160,86,17,84,30,24.4,5.1,9776
1996,Randy Velarde,CAL,Second Base,33,0.285,0.372,0.426,0.799,530,151,82,14,54,7,3.3,1.8,942
2011,Rickie Weeks Jr.,MIL,Second Base,28,0.269,0.35,0.468,0.818,453,122,77,20,49,9,12.2,3.3,1849
2007,Rickie Weeks Jr.,MIL,Second Base,24,0.235,0.374,0.433,0.807,409,96,87,16,36,25,15.8,3.1,1849
2003,Mark Loretta,SDP,Second Base,31,0.314,0.372,0.441,0.814,589,185,74,13,72,5,15.5,4.4,1383
2016,Ian Kinsler,DET,Second Base,34,0.288,0.348,0.484,0.831,618,178,117,28,83,14,23.6,5.4,6195
1987,Juan Samuel,PHI,Second Base,26,0.272,0.335,0.502,0.837,655,178,113,28,100,35,13.4,3.8,1011400
1970,Joe Morgan,HOU,Second Base,26,0.268,0.383,0.396,0.779,548,147,102,8,52,42,16,3.5,1009179
2000,Delino DeShields,BAL,Second Base,31,0.296,0.369,0.444,0.813,561,166,84,10,86,37,11.6,2.5,275
2013,Chase Utley,PHI,Second Base,34,0.284,0.348,0.475,0.823,476,135,73,18,69,8,17,3.7,1679
2007,Brian Roberts,BAL,Second Base,29,0.29,0.377,0.432,0.808,621,180,103,12,57,50,22.4,4.9,166
2014,Neil Walker,PIT,Second Base,28,0.271,0.342,0.467,0.809,512,139,74,23,76,2,20.7,4.1,7539
2020,Jake Cronenworth,SDP,Second Base,26,0.285,0.354,0.477,0.831,172,49,26,4,20,3,5.2,1.4,18036
1999,Jose Vidro,MON,Second Base,24,0.304,0.346,0.476,0.822,494,150,67,12,59,0,2,1.5,802
2020,Cavan Biggio,TOR,Second Base,25,0.25,0.375,0.432,0.807,220,55,41,8,28,6,8.5,1.4,19252
2020,Tommy La Stella,,Second Base,31,0.281,0.37,0.449,0.819,196,55,31,5,25,1,5.9,1.2,12371
1979,Lou Whitaker,DET,Second Base,22,0.286,0.395,0.378,0.774,423,121,75,3,42,20,8.4,3.8,1013846
2009,Dan Uggla,FLA,Second Base,29,0.243,0.354,0.459,0.813,564,137,84,31,90,2,12.2,2.6,3442
2000,Ray Durham,CHW,Second Base,28,0.28,0.361,0.45,0.81,614,172,121,17,75,25,3.7,2.7,230
2015,Jason Kipnis,CLE,Second Base,28,0.303,0.372,0.451,0.823,565,171,86,9,52,12,20.7,4.5,9776
2017,Jonathan Schoop,BAL,Second Base,25,0.293,0.338,0.503,0.841,622,182,92,32,105,1,14.7,3.7,11265
1997,Tony Phillips,,Second Base,38,0.275,0.392,0.391,0.783,534,147,96,8,57,13,8.5,1.9,1010300
1987,Ryne Sandberg,CHC,Second Base,27,0.294,0.367,0.442,0.809,523,154,81,16,59,21,10.1,2.1,1011411
2018,Ben Zobrist,CHC,Second Base,37,0.305,0.378,0.44,0.817,455,139,67,9,58,3,15.3,3.7,7435
1985,Tom Herr,STL,Second Base,29,0.302,0.379,0.416,0.795,596,180,97,8,110,31,26,5.1,1005737
2019,Ozzie Albies,ATL,Second Base,22,0.295,0.352,0.5,0.852,640,189,102,24,86,15,19.8,4.6,16556
2010,Martin Prado,ATL,Second Base,26,0.307,0.35,0.459,0.809,599,184,100,15,66,5,18.3,3.8,3312
2011,Brandon Phillips,CIN,Second Base,30,0.3,0.353,0.457,0.81,610,183,94,18,82,14,16.9,5.4,791
1972,Bobby Grich,BAL,Second Base,23,0.278,0.358,0.415,0.773,460,128,66,12,50,13,19.1,5.4,1005033
1997,Delino DeShields,STL,Second Base,28,0.295,0.357,0.448,0.804,572,169,92,11,58,55,14.1,3.9,275
2000,Fernando Vina,STL,Second Base,31,0.3,0.38,0.398,0.779,487,146,81,4,31,10,2.3,3.1,1189
2009,Alberto Callaspo,KCR,Second Base,26,0.3,0.356,0.457,0.813,576,173,79,11,73,2,5.8,1.9,3336
1991,Roberto Alomar,TOR,Second Base,23,0.295,0.354,0.436,0.791,637,188,88,9,69,53,21,4.3,860
1989,Jody Reed,BOS,Second Base,26,0.288,0.376,0.393,0.769,524,151,76,3,40,4,11.1,3.1,1010771
1985,Bill Doran,HOU,Second Base,27,0.287,0.362,0.434,0.797,578,166,84,14,59,23,20.4,5,1003406
1978,Davey Lopes,LAD,Second Base,33,0.278,0.355,0.421,0.776,587,163,93,17,58,45,24.3,5.1,1007750
2004,Juan Uribe,CHW,Second Base,25,0.283,0.327,0.506,0.833,502,142,82,23,74,9,3.8,3.5,454
1969,Dick Green,OAK,Second Base,28,0.275,0.353,0.427,0.779,483,133,61,12,64,2,13.1,4.5,1004991
1995,Carlos Baerga,CLE,Second Base,26,0.314,0.355,0.452,0.807,557,175,87,15,90,11,6.6,2,175
1994,Jeff Kent,NYM,Second Base,26,0.292,0.341,0.475,0.816,415,121,53,14,68,1,6.6,2.7,1119
