Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1969,Richie Hebner,PIT,Third Base,21,0.301,0.38,0.42,0.801,459,138,72,8,47,4,16.2,3.5,1005571
2004,Chipper Jones,ATL,Third Base,32,0.248,0.362,0.485,0.847,472,117,69,30,96,2,12.9,3.3,97
2013,Evan Longoria,TBR,Third Base,27,0.269,0.343,0.498,0.842,614,165,91,32,88,1,22.6,5.5,9368
1995,Gary Gaetti,KCR,Third Base,36,0.261,0.329,0.518,0.846,514,134,76,35,96,3,7.5,3.3,1004422
1997,Todd Zeile,LAD,Third Base,31,0.268,0.365,0.459,0.824,575,154,89,31,90,8,17.4,2.5,457
2009,Scott Rolen,,Third Base,34,0.305,0.368,0.455,0.823,475,145,76,11,67,5,16.3,4.1,970
2019,Hunter Dozier,KCR,Third Base,27,0.279,0.348,0.522,0.87,523,146,75,26,84,2,15.4,2.9,15117
1981,Doug DeCinces,BAL,Third Base,30,0.263,0.341,0.454,0.795,346,91,49,13,55,0,12,2.7,1003123
1988,Kevin Seitzer,KCR,Third Base,26,0.304,0.388,0.406,0.794,559,170,90,5,60,10,17.2,4.2,1011730
1977,Pete Rose,CIN,Third Base,36,0.311,0.377,0.432,0.809,655,204,95,9,64,16,18.4,3.6,1011217
1979,Ray Knight,CIN,Third Base,26,0.318,0.36,0.454,0.814,551,175,64,10,79,4,15,3.5,1007043
1998,Dean Palmer,KCR,Third Base,29,0.278,0.333,0.51,0.844,572,159,84,34,119,8,9.8,1.9,482
1977,Graig Nettles,NYY,Third Base,32,0.255,0.333,0.496,0.829,589,150,99,37,107,2,18.3,5.4,1009517
2009,Martin Prado,ATL,Third Base,25,0.307,0.358,0.464,0.822,450,138,64,11,49,1,8.1,2.5,3312
1996,B.J. Surhoff,BAL,Third Base,31,0.292,0.352,0.482,0.834,537,157,74,21,82,0,6.1,3,117
2005,Bill Hall,MIL,Third Base,25,0.291,0.342,0.495,0.837,501,146,69,17,62,18,13.3,3.4,1605
1978,Graig Nettles,NYY,Third Base,33,0.276,0.343,0.46,0.803,587,162,81,27,93,1,19.7,6,1009517
1982,Buddy Bell,TEX,Third Base,30,0.296,0.376,0.426,0.803,537,159,62,13,67,5,16.1,5.3,1000799
1986,Buddy Bell,CIN,Third Base,34,0.278,0.362,0.445,0.807,568,158,89,20,75,2,12.7,3.4,1000799
1993,Robin Ventura,CHW,Third Base,25,0.262,0.379,0.433,0.812,554,145,85,22,94,1,14.4,5.5,854
2002,Robin Ventura,NYY,Third Base,34,0.247,0.368,0.458,0.826,465,115,68,27,93,3,13.2,3.7,854
1978,George Brett,KCR,Third Base,25,0.294,0.342,0.467,0.809,510,150,79,9,62,23,16.5,4.8,1001400
2009,Casey Blake,LAD,Third Base,35,0.28,0.363,0.468,0.832,485,136,84,18,79,3,14.5,4.5,719
2001,Jeff Cirillo,COL,Third Base,31,0.313,0.364,0.473,0.838,528,165,72,17,83,12,-2,3.9,1073
2009,Chone Figgins,LAA,Third Base,31,0.298,0.395,0.393,0.789,615,183,114,5,54,42,21.6,6.6,1580
2005,Melvin Mora,BAL,Third Base,33,0.283,0.348,0.474,0.821,593,168,86,27,88,7,13.2,4.2,157
1987,Bobby Bonilla,PIT,Third Base,24,0.3,0.351,0.481,0.832,466,140,58,15,77,3,9.6,2.8,1001168
1994,Ken Caminiti,HOU,Third Base,31,0.283,0.352,0.495,0.847,406,115,63,18,75,4,10.7,3.9,1001863
1978,Mike Schmidt,PHI,Third Base,28,0.251,0.364,0.435,0.798,513,129,93,21,78,19,16.3,5.5,1011586
1993,Dean Palmer,TEX,Third Base,24,0.245,0.321,0.503,0.824,519,127,88,33,96,11,11,1.8,482
1987,Kevin Mitchell,,Third Base,25,0.28,0.35,0.474,0.824,464,130,68,22,70,9,12.4,3.8,1009004
2002,Corey Koskie,MIN,Third Base,29,0.267,0.368,0.447,0.815,490,131,71,15,69,10,9,5.1,738
1982,Carney Lansford,BOS,Third Base,25,0.301,0.359,0.444,0.803,482,145,65,11,63,9,9.4,1.9,1007331
2017,Eugenio Suarez,CIN,Third Base,25,0.26,0.367,0.461,0.828,534,139,87,26,82,4,11.5,3.9,12552
2008,Melvin Mora,BAL,Third Base,36,0.285,0.342,0.483,0.826,513,146,77,23,104,3,10.6,3.1,157
1990,Wade Boggs,BOS,Third Base,32,0.302,0.386,0.418,0.804,619,187,89,6,63,0,14.4,3.2,1001124
2016,Jonathan Villar,MIL,Third Base,25,0.285,0.369,0.457,0.826,589,168,92,19,63,62,19.9,3,10071
1994,Jerry Browne,FLA,Third Base,28,0.295,0.392,0.398,0.79,329,97,42,3,30,3,7.3,2.7,1001525
1971,Graig Nettles,CLE,Third Base,26,0.261,0.35,0.435,0.785,598,156,78,28,86,7,14.9,7.4,1009517
1986,Jim Morrison,PIT,Third Base,33,0.274,0.334,0.482,0.816,537,147,58,23,88,9,14.2,3.1,1009212
1980,Ron Cey,LAD,Third Base,32,0.254,0.342,0.452,0.794,551,140,81,28,77,2,18.5,5.2,1002108
2004,David Bell,PHI,Third Base,31,0.291,0.363,0.458,0.821,533,155,67,18,77,1,6,3.6,1108
