Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2002,Mike Piazza,NYM,Catcher,33,0.28,0.359,0.544,0.903,478,134,69,33,98,0,20.3,4.6,893
1977,Johnny Bench,CIN,Catcher,29,0.275,0.348,0.54,0.889,494,136,67,31,109,2,21,4.9,1000826
2008,Joe Mauer,MIN,Catcher,25,0.328,0.413,0.451,0.864,536,176,98,9,85,1,28.7,6.4,1857
1973,Thurman Munson,NYY,Catcher,26,0.301,0.362,0.487,0.849,519,156,80,20,74,4,25.3,6.6,1009334
1982,Lance Parrish,DET,Catcher,26,0.284,0.338,0.529,0.867,486,138,75,32,87,3,20.7,5.2,1010021
1996,Todd Hundley,NYM,Catcher,27,0.259,0.356,0.55,0.906,540,140,85,41,112,1,25.3,4.7,284
2010,Joe Mauer,MIN,Catcher,27,0.327,0.402,0.469,0.871,510,167,88,9,75,1,24.4,5.7,1857
1984,Gary Carter,MON,Catcher,30,0.294,0.366,0.487,0.853,596,175,75,27,106,2,31,7.1,1002015
1975,Manny Sanguillen,PIT,Catcher,31,0.328,0.391,0.451,0.842,481,158,60,9,58,6,20.6,4.7,1011434
1987,Matt Nokes,DET,Catcher,23,0.289,0.345,0.536,0.88,461,133,69,32,87,2,19.9,3.4,1009615
2012,Joe Mauer,MIN,Catcher,29,0.319,0.416,0.446,0.861,545,174,81,10,85,8,27.2,4.6,1857
2012,Yadier Molina,STL,Catcher,29,0.315,0.373,0.501,0.874,505,159,65,22,76,12,20.9,7.7,7007
1978,Carlton Fisk,BOS,Catcher,30,0.284,0.366,0.475,0.841,571,162,94,20,88,7,21.7,5.7,1004101
2004,Jason Varitek,BOS,Catcher,32,0.296,0.39,0.482,0.872,463,137,67,18,73,10,15.5,4.1,217
1992,Mickey Tettleton,DET,Catcher,31,0.238,0.379,0.469,0.848,525,125,82,32,83,0,22.2,5,1012939
2009,Victor Martinez,None,Catcher,30,0.303,0.381,0.48,0.861,588,178,88,23,108,1,19.6,2.7,393
1993,Mickey Tettleton,DET,Catcher,32,0.245,0.372,0.492,0.864,522,128,79,32,110,3,19.1,2.5,1012939
1998,Ivan Rodriguez,TEX,Catcher,26,0.321,0.358,0.513,0.871,579,186,88,21,91,9,17.2,6.4,1275
1977,Gene Tenace,SDP,Catcher,30,0.233,0.415,0.41,0.824,437,102,66,15,61,5,24.6,4.6,1012911
2006,Jorge Posada,NYY,Catcher,34,0.277,0.374,0.492,0.867,465,129,65,23,93,3,13.1,4.3,841
1969,Johnny Bench,CIN,Catcher,21,0.293,0.353,0.487,0.84,532,156,83,26,90,6,16.8,5.3,1000826
2007,Victor Martinez,CLE,Catcher,28,0.301,0.374,0.505,0.879,562,169,78,25,114,0,20.8,5.4,393
2004,Javy Lopez,BAL,Catcher,33,0.316,0.37,0.503,0.872,579,183,83,23,86,0,18.7,4.4,103
2008,Geovany Soto,CHC,Catcher,25,0.285,0.364,0.504,0.868,494,141,66,23,86,0,11.3,3,3707
1973,Joe Ferguson,LAD,Catcher,26,0.263,0.369,0.47,0.839,487,128,84,25,88,1,24.4,4.9,1003990
2014,Buster Posey,SFG,Catcher,27,0.311,0.364,0.49,0.854,547,170,72,22,89,0,25.4,7.6,9166
1979,Ted Simmons,STL,Catcher,29,0.283,0.369,0.507,0.875,448,127,68,26,87,0,18.3,3.9,1011986
1990,Carlton Fisk,CHW,Catcher,42,0.285,0.378,0.451,0.829,452,129,65,18,65,7,19.8,5,1004101
1985,Gary Carter,NYM,Catcher,31,0.281,0.365,0.488,0.853,555,156,83,32,100,1,27.4,6.7,1002015
2006,Victor Martinez,CLE,Catcher,27,0.316,0.391,0.465,0.856,572,181,82,16,93,0,9.3,2.8,393
1996,Terry Steinbach,OAK,Catcher,34,0.272,0.342,0.529,0.871,514,140,79,35,100,0,12.8,3.9,1012473
1985,Mike Scioscia,LAD,Catcher,26,0.296,0.407,0.42,0.826,429,127,47,7,53,3,23,5.5,1011667
2005,Jason Varitek,BOS,Catcher,33,0.281,0.366,0.489,0.856,470,132,70,22,70,2,13.6,3.5,217
1997,Jason Kendall,PIT,Catcher,23,0.294,0.391,0.434,0.825,486,143,71,8,49,18,15,4.5,993
1971,Dick Dietz,SFG,Catcher,29,0.252,0.387,0.419,0.806,453,114,58,19,72,1,18.9,4,1003290
2007,Russell Martin,LAD,Catcher,24,0.293,0.374,0.469,0.843,540,158,87,19,87,21,18.3,5.5,4616
2014,Jonathan Lucroy,MIL,Catcher,28,0.301,0.373,0.465,0.837,585,176,73,13,69,4,22.3,8.2,7870
1998,Javy Lopez,ATL,Catcher,27,0.284,0.328,0.54,0.868,489,139,73,34,106,5,15.4,3.8,103
1978,Gene Tenace,SDP,Catcher,31,0.224,0.392,0.409,0.801,401,90,60,16,61,6,21.1,4.8,1012911
2017,Gary Sanchez,NYY,Catcher,24,0.278,0.345,0.531,0.876,471,131,79,33,90,2,18.6,4.3,11442
1985,Rich Gedman,BOS,Catcher,25,0.295,0.362,0.484,0.846,498,147,66,18,80,2,17.1,5.6,1004592
2005,Victor Martinez,CLE,Catcher,26,0.305,0.378,0.475,0.853,547,167,73,20,80,0,16.6,4.7,393
1995,Mike Stanley,NYY,Catcher,32,0.268,0.36,0.481,0.841,399,107,63,18,83,1,11.7,3.1,1012416
1971,Bill Freehan,DET,Catcher,29,0.277,0.353,0.465,0.818,516,143,57,21,71,2,16.1,4.9,1004315
2017,Buster Posey,SFG,Catcher,30,0.32,0.4,0.462,0.861,494,158,62,12,67,6,18.8,4.7,9166
1997,Ivan Rodriguez,TEX,Catcher,25,0.313,0.36,0.484,0.844,597,187,98,20,77,7,11.3,6.2,1275
1971,Earl Williams,ATL,Catcher,22,0.26,0.324,0.491,0.815,497,129,64,33,87,0,13.6,3,1013995
1994,Ivan Rodriguez,TEX,Catcher,22,0.298,0.36,0.488,0.848,363,108,56,16,57,6,6.5,3,1275
2010,Victor Martinez,BOS,Catcher,31,0.302,0.351,0.493,0.844,493,149,64,20,79,1,11.4,3.7,393
2013,Carlos Santana,CLE,Catcher,27,0.268,0.377,0.455,0.832,541,145,75,20,74,3,21.6,2.3,2396
2012,Miguel Montero,ARI,Catcher,28,0.286,0.391,0.438,0.829,486,139,65,15,88,0,10.7,5.6,3364
2003,Jason Varitek,BOS,Catcher,31,0.273,0.351,0.512,0.863,451,123,63,25,85,3,10.3,3.8,217
1980,Carlton Fisk,BOS,Catcher,32,0.289,0.353,0.467,0.819,478,138,73,18,62,11,11.4,3.8,1004101
2003,Jason Kendall,PIT,Catcher,29,0.325,0.399,0.416,0.815,587,191,84,6,58,8,14.1,4.2,993
2015,Buster Posey,SFG,Catcher,28,0.318,0.379,0.47,0.849,557,177,74,19,95,2,23.8,6.8,9166
1979,Johnny Bench,CIN,Catcher,31,0.276,0.364,0.459,0.824,464,128,73,22,80,4,15.9,5.2,1000826
2003,Ivan Rodriguez,FLA,Catcher,31,0.297,0.369,0.474,0.843,511,152,90,16,85,10,15.8,4.5,1275
1980,Lance Parrish,DET,Catcher,24,0.286,0.325,0.499,0.825,553,158,79,24,82,6,14.2,3.9,1010021
1984,Bob Brenly,SFG,Catcher,30,0.291,0.352,0.464,0.816,506,147,74,20,80,6,18.7,3.8,1001386
2013,Yadier Molina,STL,Catcher,30,0.319,0.359,0.477,0.836,505,161,68,12,80,3,17.5,7.8,7007
1977,Joe Ferguson,HOU,Catcher,30,0.257,0.379,0.435,0.814,421,108,59,16,61,6,18.4,4.6,1003990
1994,Chris Hoiles,BAL,Catcher,29,0.247,0.371,0.449,0.82,332,82,45,19,53,2,7.5,3.3,1005935
2010,Brian McCann,ATL,Catcher,26,0.269,0.375,0.453,0.828,479,129,63,21,77,5,9.4,6.7,4810
2016,Jonathan Lucroy,None,Catcher,30,0.292,0.355,0.5,0.855,490,143,67,24,81,5,14.5,4.6,7870
2002,Jorge Posada,NYY,Catcher,30,0.268,0.37,0.468,0.837,511,137,79,20,99,1,11.8,4.2,841
2016,Wilson Ramos,WSN,Catcher,28,0.307,0.354,0.496,0.85,482,148,58,22,80,0,8.1,3.6,1433
1974,Gene Tenace,OAK,Catcher,27,0.211,0.367,0.411,0.778,484,102,71,26,73,2,20.3,4.5,1012911
2003,Mike Lieberthal,PHI,Catcher,31,0.313,0.373,0.453,0.825,508,159,68,13,81,0,9.5,3.1,959
2019,Yasmani Grandal,MIL,Catcher,30,0.246,0.38,0.468,0.848,513,126,79,28,77,5,13.1,5.3,11368
2020,J.T. Realmuto,PHI,Catcher,29,0.266,0.349,0.491,0.84,173,46,33,11,32,4,8.3,1.7,11739
1970,Thurman Munson,NYY,Catcher,23,0.302,0.386,0.415,0.801,453,137,59,6,53,5,15.3,5,1009334
1994,Mike Macfarlane,KCR,Catcher,30,0.255,0.359,0.462,0.821,314,80,53,14,47,1,6,1.5,1007905
1979,Gary Carter,MON,Catcher,25,0.283,0.338,0.485,0.823,505,143,74,22,75,3,16,5.9,1002015
2009,Brian McCann,ATL,Catcher,25,0.281,0.349,0.486,0.834,488,137,63,21,94,4,8.3,6.3,4810
2004,Victor Martinez,CLE,Catcher,25,0.283,0.359,0.492,0.851,520,147,77,23,108,0,8.4,3.3,393
1972,Earl Williams,ATL,Catcher,23,0.258,0.336,0.457,0.793,565,146,72,28,87,0,13.2,2.5,1013995
1975,Thurman Munson,NYY,Catcher,28,0.318,0.366,0.429,0.795,597,190,83,12,102,3,18.7,5.6,1009334
1975,Darrell Porter,MIL,Catcher,23,0.232,0.371,0.418,0.789,409,95,66,18,60,2,12.2,3.6,1010450
1972,Ted Simmons,STL,Catcher,22,0.303,0.336,0.465,0.801,594,180,70,16,96,1,15.9,4.9,1011986
1973,Ted Simmons,STL,Catcher,23,0.31,0.37,0.438,0.808,619,192,62,13,91,2,17.3,5.8,1011986
2004,Johnny Estrada,ATL,Catcher,28,0.314,0.378,0.45,0.828,462,145,56,9,76,0,5.1,2.7,955
2013,Buster Posey,SFG,Catcher,26,0.294,0.371,0.45,0.821,520,153,61,15,72,2,19.3,6.9,9166
2001,Jorge Posada,NYY,Catcher,29,0.277,0.363,0.475,0.838,484,134,59,22,95,2,11.6,3.5,841
1977,Thurman Munson,NYY,Catcher,30,0.308,0.351,0.462,0.813,595,183,85,18,100,5,16.2,4.4,1009334
1978,Darrell Porter,KCR,Catcher,26,0.265,0.358,0.444,0.802,520,138,77,18,78,0,12.8,4.4,1010450
1980,Gary Carter,MON,Catcher,26,0.264,0.331,0.486,0.818,549,145,76,29,101,3,16.7,6,1002015
2004,Jason Kendall,PIT,Catcher,30,0.319,0.399,0.39,0.789,574,183,86,3,51,11,11.6,4.5,993
1979,Lance Parrish,DET,Catcher,23,0.276,0.343,0.456,0.8,493,136,65,19,65,6,7.1,4.2,1010021
1996,Benito Santiago,PHI,Catcher,31,0.264,0.332,0.503,0.835,481,127,71,30,85,2,9.2,2.6,1130
1975,Gary Carter,MON,Catcher,21,0.27,0.36,0.416,0.776,503,136,58,17,68,5,9,3.2,1002015
1978,John Stearns,NYM,Catcher,26,0.264,0.364,0.413,0.777,477,126,65,15,73,25,15.9,5.6,1012446
2018,J.T. Realmuto,MIA,Catcher,27,0.277,0.34,0.484,0.825,477,132,74,21,74,3,22.1,4.9,11739
1980,John Wathan,KCR,Catcher,30,0.305,0.377,0.406,0.783,453,138,57,6,58,17,11.6,2.7,1013666
2011,Yadier Molina,STL,Catcher,28,0.305,0.349,0.465,0.814,475,145,55,14,65,4,9.1,5.9,7007
2011,Miguel Montero,ARI,Catcher,27,0.282,0.351,0.469,0.82,493,139,65,18,86,1,5.4,5.9,3364
1982,Terry Kennedy,SDP,Catcher,26,0.295,0.328,0.486,0.814,562,166,75,21,97,1,19.1,4.6,1006850
1983,Ted Simmons,MIL,Catcher,33,0.308,0.351,0.448,0.799,600,185,76,13,108,4,16.6,3.7,1011986
1990,Lance Parrish,CAL,Catcher,34,0.268,0.338,0.451,0.789,470,126,54,24,70,2,12.8,4.6,1010021
2006,Ramon Hernandez,BAL,Catcher,30,0.275,0.343,0.479,0.822,501,138,66,23,91,1,5.5,4.1,918
2018,Yasmani Grandal,LAD,Catcher,29,0.241,0.349,0.466,0.815,440,106,65,24,68,2,9.5,4.7,11368
2000,Javy Lopez,ATL,Catcher,29,0.287,0.337,0.484,0.822,481,138,60,24,89,0,3,2.8,103
2012,A.J. Pierzynski,CHW,Catcher,35,0.278,0.326,0.501,0.827,479,133,68,27,77,0,9.5,3.3,746
2011,Carlos Santana,CLE,Catcher,25,0.239,0.351,0.457,0.808,552,132,84,27,79,5,15.9,0.3,2396
1983,Darrell Porter,STL,Catcher,31,0.262,0.363,0.431,0.794,443,116,57,15,66,1,11.2,4.2,1010450
1990,Darren Daulton,PHI,Catcher,28,0.268,0.367,0.416,0.783,459,123,62,12,57,7,10.8,4.4,1003010
2003,A.J. Pierzynski,MIN,Catcher,26,0.312,0.36,0.464,0.824,487,152,63,11,74,3,8.8,3.6,746
1990,Mickey Tettleton,BAL,Catcher,29,0.223,0.376,0.381,0.756,444,99,68,15,51,2,12,2.9,1012939
1996,Ivan Rodriguez,TEX,Catcher,24,0.3,0.342,0.473,0.814,639,192,116,19,86,5,-0.4,5.6,1275
2011,Brian McCann,ATL,Catcher,27,0.27,0.351,0.466,0.817,466,126,51,24,71,3,9.3,6.9,4810
1999,Brad Ausmus,DET,Catcher,30,0.275,0.365,0.415,0.779,458,126,62,9,54,12,-0.1,3.3,546
2008,Russell Martin,LAD,Catcher,25,0.28,0.385,0.396,0.781,553,155,87,13,69,18,11.2,7.9,4616
1985,Lance Parrish,DET,Catcher,29,0.273,0.323,0.479,0.802,549,150,64,28,98,2,11,4.1,1010021
1976,Thurman Munson,NYY,Catcher,29,0.302,0.337,0.432,0.769,616,186,79,17,105,14,16.6,4.6,1009334
2004,Michael Barrett,CHC,Catcher,27,0.287,0.337,0.489,0.826,456,131,55,16,65,1,2,2.3,762
1985,Carlton Fisk,CHW,Catcher,37,0.238,0.32,0.488,0.808,543,129,85,37,107,17,8.3,3.4,1004101
1999,Jason Varitek,BOS,Catcher,27,0.269,0.33,0.482,0.813,483,130,70,20,76,1,-0.1,2.2,217
2002,Mike Lieberthal,PHI,Catcher,30,0.279,0.349,0.443,0.792,476,133,46,15,52,0,3.9,3.1,959
1983,Jody Davis,CHC,Catcher,26,0.271,0.315,0.48,0.795,510,138,56,24,84,0,5.5,2.6,1003060
1974,Ted Simmons,STL,Catcher,24,0.272,0.327,0.447,0.774,599,163,66,20,103,0,9.7,4.1,1011986
1976,Carlton Fisk,BOS,Catcher,28,0.255,0.336,0.415,0.751,487,124,76,17,58,12,7.7,4.2,1004101
1971,Ted Simmons,STL,Catcher,21,0.304,0.347,0.424,0.771,510,155,64,7,77,1,9.8,3.8,1011986
2020,Christian Vazquez,BOS,Catcher,29,0.283,0.344,0.457,0.801,173,49,22,7,23,4,0.8,1.4,9774
1976,Ted Simmons,STL,Catcher,26,0.291,0.371,0.394,0.765,546,159,60,5,75,0,6.9,3.8,1011986
2007,Jason Varitek,BOS,Catcher,35,0.255,0.367,0.421,0.787,435,111,57,17,68,1,2.1,2.6,217
2013,Jonathan Lucroy,MIL,Catcher,27,0.28,0.34,0.455,0.795,521,146,59,18,82,9,4.1,7,7870
1977,John Stearns,NYM,Catcher,25,0.251,0.37,0.397,0.767,431,108,52,12,55,9,7.8,3.7,1012446
1983,Lance Parrish,DET,Catcher,27,0.269,0.314,0.483,0.796,605,163,80,27,114,1,9.3,4.9,1010021
1982,Bo Diaz,PHI,Catcher,29,0.288,0.333,0.45,0.782,525,151,69,18,85,3,8.4,3.9,1003261
1976,Johnny Bench,CIN,Catcher,28,0.234,0.348,0.394,0.741,465,109,62,16,74,13,9.3,4.8,1000826
2012,Carlos Santana,CLE,Catcher,26,0.252,0.365,0.42,0.785,507,128,72,18,76,3,5.9,0,2396
2004,Mike Piazza,NYM,Catcher,35,0.266,0.362,0.444,0.806,455,121,47,20,54,0,-1.9,0.5,893
1970,Manny Sanguillen,PIT,Catcher,26,0.325,0.344,0.444,0.788,486,158,63,7,61,2,4.1,3.8,1011434
1983,Gary Carter,MON,Catcher,29,0.27,0.336,0.444,0.78,541,146,63,17,79,1,11.3,6.8,1002015
1973,Johnny Bench,CIN,Catcher,25,0.253,0.345,0.429,0.774,557,141,83,25,104,4,12.1,4.9,1000826
2006,Paul Lo Duca,NYM,Catcher,34,0.318,0.355,0.428,0.783,512,163,80,5,49,3,0.2,2.5,662
2016,Yadier Molina,STL,Catcher,33,0.307,0.36,0.427,0.787,534,164,56,8,58,3,2.3,3.5,7007
1981,Milt May,SFG,Catcher,30,0.31,0.376,0.383,0.759,316,98,20,2,33,1,5.3,1.7,1008304
2012,A.J. Ellis,LAD,Catcher,31,0.27,0.373,0.414,0.786,423,114,44,13,52,0,7.1,2.5,5677
1971,Manny Sanguillen,PIT,Catcher,27,0.319,0.345,0.426,0.771,533,170,60,7,81,6,10,5,1011434
1974,John Ellis,CLE,Catcher,25,0.285,0.33,0.421,0.751,477,136,58,10,64,1,7.6,2.1,1003750
2016,Buster Posey,SFG,Catcher,29,0.288,0.362,0.434,0.796,539,155,82,14,80,6,7.3,6.7,9166
2005,Jorge Posada,NYY,Catcher,33,0.262,0.352,0.43,0.782,474,124,67,19,71,1,5.5,3.3,841
1977,Jim Sundberg,TEX,Catcher,26,0.291,0.365,0.389,0.753,453,132,61,6,65,2,5.9,4.7,1012724
1983,Tony Pena,PIT,Catcher,26,0.301,0.338,0.435,0.773,542,163,51,15,70,6,5.9,3.8,1010153
2010,Mike Napoli,LAA,Catcher,28,0.238,0.316,0.468,0.784,453,108,60,26,68,4,7.5,2.1,3057
2015,Francisco Cervelli,PIT,Catcher,29,0.295,0.37,0.401,0.771,451,133,56,7,43,1,9.4,5.9,5275
1981,Brian Downing,CAL,Catcher,30,0.249,0.351,0.379,0.73,317,79,47,9,41,1,7.3,1.3,1003451
1987,Benito Santiago,SDP,Catcher,22,0.3,0.324,0.467,0.791,546,164,64,18,79,21,5,3.1,1130
2015,Russell Martin,TOR,Catcher,32,0.24,0.329,0.458,0.787,441,106,76,23,77,4,4.1,4.5,4616
2014,Yan Gomes,CLE,Catcher,26,0.278,0.313,0.472,0.785,485,135,61,21,74,0,10.5,5.1,9627
2003,Ramon Hernandez,OAK,Catcher,27,0.273,0.331,0.458,0.789,483,132,70,21,78,0,3,3.3,918
2005,Joe Mauer,MIN,Catcher,22,0.294,0.372,0.411,0.783,489,144,61,9,55,13,8.2,3.4,1857
2011,Matt Wieters,BAL,Catcher,25,0.262,0.328,0.45,0.778,500,131,72,22,68,1,3.1,5.7,4298
2019,J.T. Realmuto,PHI,Catcher,28,0.275,0.328,0.493,0.82,538,148,92,25,83,9,12,5.7,11739
1984,Ozzie Virgil,PHI,Catcher,27,0.261,0.331,0.434,0.765,456,119,61,18,68,1,7.7,3.2,1013439
