Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1970,Billy Grabarkewitz,LAD,Shortstop,24,0.289,0.399,0.454,0.852,529,153,92,17,84,19,28.3,6.1,1004907
2019,Trevor Story,COL,Shortstop,26,0.294,0.363,0.554,0.917,588,173,111,35,85,23,24.3,5.9,12564
2007,Edgar Renteria,ATL,Shortstop,30,0.332,0.39,0.47,0.86,494,164,87,12,57,11,22.2,4,1178
1998,Derek Jeter,NYY,Shortstop,24,0.324,0.384,0.481,0.864,626,203,127,19,84,30,29,6.2,826
1993,Jeff Blauser,ATL,Shortstop,27,0.305,0.401,0.436,0.837,597,182,110,15,73,16,25.5,5.4,1001062
2005,Jhonny Peralta,CLE,Shortstop,23,0.292,0.366,0.52,0.885,504,147,82,24,78,0,23,4.3,1738
2018,Manny Machado,None,Shortstop,25,0.297,0.367,0.538,0.905,632,188,84,37,107,14,35.9,6.3,11493
2011,Jose Reyes,NYM,Shortstop,28,0.337,0.384,0.493,0.877,537,181,101,7,44,39,34.9,5.8,1736
2004,Miguel Tejada,BAL,Shortstop,30,0.311,0.36,0.534,0.894,653,203,107,34,150,4,24.8,6,941
2020,Tim Anderson,CHW,Shortstop,27,0.322,0.357,0.529,0.886,208,67,45,10,21,5,12.2,2.1,15172
2003,Edgar Renteria,STL,Shortstop,26,0.33,0.394,0.48,0.874,587,194,96,13,100,34,30,6.3,1178
2006,Bill Hall,MIL,Shortstop,26,0.27,0.345,0.553,0.899,537,145,101,35,85,8,19.4,5.1,1605
2006,Miguel Tejada,BAL,Shortstop,32,0.33,0.379,0.498,0.878,648,214,99,24,100,6,18.7,4.9,941
1997,Nomar Garciaparra,BOS,Shortstop,23,0.306,0.342,0.534,0.875,684,209,122,30,98,22,20.9,6.4,190
2002,Nomar Garciaparra,BOS,Shortstop,28,0.31,0.352,0.528,0.88,635,197,101,24,120,5,25.9,4.8,190
2018,Xander Bogaerts,BOS,Shortstop,25,0.288,0.36,0.522,0.883,513,148,72,23,103,8,21.2,4.9,12161
2019,Marcus Semien,OAK,Shortstop,28,0.285,0.369,0.522,0.892,657,187,123,33,92,10,38.2,7.6,12533
2016,Corey Seager,LAD,Shortstop,22,0.308,0.365,0.512,0.877,627,193,105,26,72,3,33,6.9,13624
2003,Derek Jeter,NYY,Shortstop,29,0.324,0.393,0.45,0.844,482,156,87,10,52,11,21.4,4.1,826
1999,Omar Vizquel,CLE,Shortstop,32,0.333,0.397,0.436,0.833,574,191,112,5,66,42,18,6,411
1993,Jay Bell,PIT,Shortstop,27,0.31,0.392,0.437,0.83,604,187,102,9,51,16,21.3,6.6,48
2001,Derek Jeter,NYY,Shortstop,27,0.311,0.377,0.48,0.858,614,191,110,21,74,27,30.3,4.2,826
2007,Jimmy Rollins,PHI,Shortstop,28,0.296,0.344,0.531,0.875,716,212,139,30,94,41,30.6,6.5,971
2007,Derek Jeter,NYY,Shortstop,33,0.322,0.388,0.452,0.84,639,206,102,12,73,15,23.7,3.6,826
2002,Miguel Tejada,OAK,Shortstop,28,0.308,0.354,0.508,0.861,662,204,108,34,131,7,29.5,4.5,941
1970,Denis Menke,HOU,Shortstop,29,0.304,0.392,0.441,0.833,562,171,82,13,92,6,19.7,3.6,1008766
1992,Barry Larkin,CIN,Shortstop,28,0.304,0.377,0.454,0.831,533,162,76,12,78,15,24.2,5.3,335
2020,Trevor Story,COL,Shortstop,27,0.289,0.355,0.519,0.874,235,68,41,11,28,15,9.7,2.4,12564
2010,Hanley Ramirez,FLA,Shortstop,26,0.3,0.378,0.475,0.853,543,163,92,21,76,32,24.5,4.1,8001
